5: 1unique | 1count | 5sum
12853: 1unique | 1count | 12853sum
12857: 4unique | 4count | 92sum
12858: 3unique | 3count | 2148sum
12859: 4unique | 4count | 196sum
12863: 2unique | 2count | 696sum
12864: 3unique | 8count | 82sum
12865: 3unique | 3count | 119sum
12869: 2unique | 2count | 774sum
12870: 7unique | 8count | 61sum
12871: 2unique | 2count | 272sum
12875: 2unique | 4count | 118sum
12876: 4unique | 5count | 73sum
12877: 2unique | 2count | 242sum
12881: 3unique | 3count | 1193sum
12882: 4unique | 4count | 137sum
12883: 3unique | 3count | 1017sum
12887: 2unique | 3count | 277sum
12888: 3unique | 6count | 191sum
12889: 1unique | 1count | 12889sum
12893: 1unique | 1count | 12893sum
12894: 4unique | 4count | 319sum
12895: 2unique | 2count | 2584sum
12899: 1unique | 1count | 12899sum
12900: 4unique | 6count | 60sum
12901: 3unique | 3count | 123sum
12905: 3unique | 3count | 123sum
12906: 3unique | 5count | 250sum
12907: 1unique | 1count | 12907sum
12911: 1unique | 1count | 12911sum
12912: 3unique | 6count | 280sum
12913: 2unique | 2count | 386sum
12917: 1unique | 1count | 12917sum
12918: 3unique | 3count | 2158sum
12919: 1unique | 1count | 12919sum
12923: 1unique | 1count | 12923sum
12924: 3unique | 5count | 369sum
12925: 4unique | 5count | 79sum
12929: 2unique | 2count | 1854sum
12930: 4unique | 4count | 441sum
12931: 2unique | 2count | 260sum
12935: 4unique | 4count | 230sum
12936: 5unique | 8count | 45sum
12937: 2unique | 2count | 778sum
12941: 1unique | 1count | 12941sum
12942: 3unique | 4count | 727sum
12943: 2unique | 3count | 93sum
12947: 3unique | 5count | 151sum
12948: 5unique | 6count | 116sum
12949: 2unique | 2count | 586sum
12953: 1unique | 1count | 12953sum
12954: 4unique | 4count | 149sum
12955: 2unique | 2count | 2596sum
12959: 1unique | 1count | 12959sum
12960: 3unique | 10count | 27sum
12961: 3unique | 3count | 1023sum
12965: 2unique | 2count | 2598sum
12966: 3unique | 3count | 2166sum
12967: 1unique | 1count | 12967sum
12971: 3unique | 3count | 133sum
12972: 4unique | 5count | 77sum
12973: 1unique | 1count | 12973sum
12977: 2unique | 2count | 702sum
12978: 4unique | 5count | 118sum
12979: 1unique | 1count | 12979sum
12983: 1unique | 1count | 12983sum
12984: 3unique | 5count | 550sum
12985: 3unique | 4count | 72sum
12989: 2unique | 2count | 450sum
12990: 4unique | 4count | 443sum
12991: 3unique | 3count | 1203sum
12995: 3unique | 3count | 141sum
12996: 3unique | 6count | 48sum
12997: 2unique | 2count | 358sum
13001: 1unique | 1count | 13001sum
13002: 5unique | 5count | 224sum
13003: 1unique | 1count | 13003sum
13007: 1unique | 1count | 13007sum
13008: 3unique | 6count | 282sum
13009: 1unique | 1count | 13009sum
13013: 5unique | 7count | 81sum
13014: 3unique | 5count | 252sum
13015: 3unique | 3count | 161sum
13019: 2unique | 2count | 324sum
13020: 5unique | 6count | 50sum
13021: 2unique | 2count | 478sum
13025: 2unique | 3count | 531sum
13026: 5unique | 5count | 198sum
13027: 2unique | 2count | 1868sum
13031: 2unique | 2count | 240sum
13032: 3unique | 6count | 193sum
13033: 1unique | 1count | 13033sum
13037: 1unique | 1count | 13037sum
13038: 4unique | 4count | 99sum
13039: 4unique | 4count | 102sum
13043: 1unique | 1count | 13043sum
13044: 3unique | 4count | 1094sum
13045: 2unique | 2count | 2614sum
13049: 1unique | 1count | 13049sum
13050: 4unique | 6count | 47sum
13051: 2unique | 2count | 452sum
13055: 3unique | 3count | 385sum
13056: 3unique | 10count | 36sum
13057: 3unique | 3count | 1209sum
13061: 2unique | 2count | 390sum
13062: 4unique | 4count | 323sum
13063: 1unique | 1count | 13063sum
13067: 2unique | 2count | 252sum
13068: 4unique | 9count | 57sum
13069: 2unique | 2count | 1874sum
13073: 2unique | 2count | 786sum
13074: 3unique | 3count | 2184sum
13075: 2unique | 3count | 533sum
13079: 4unique | 4count | 92sum
13080: 4unique | 6count | 123sum
13081: 2unique | 2count | 230sum
13085: 2unique | 2count | 2622sum
13086: 3unique | 4count | 735sum
13087: 2unique | 2count | 592sum
13091: 4unique | 4count | 98sum
13092: 3unique | 4count | 1098sum
13093: 1unique | 1count | 13093sum
13097: 2unique | 2count | 1878sum
13098: 4unique | 4count | 101sum
13099: 1unique | 1count | 13099sum
13103: 1unique | 1count | 13103sum
13104: 5unique | 9count | 47sum
13105: 2unique | 2count | 2626sum
13109: 1unique | 1count | 13109sum
13110: 5unique | 5count | 52sum
13111: 2unique | 2count | 1880sum
13115: 3unique | 3count | 109sum
13116: 3unique | 4count | 1100sum
13117: 3unique | 3count | 1035sum
13121: 1unique | 1count | 13121sum
13122: 2unique | 9count | 26sum
13123: 3unique | 3count | 1215sum
13127: 1unique | 1count | 13127sum
13128: 3unique | 5count | 556sum
13129: 2unique | 2count | 710sum
13133: 2unique | 2count | 594sum
13134: 5unique | 5count | 226sum
13135: 3unique | 3count | 113sum
13139: 2unique | 2count | 1884sum
13140: 4unique | 6count | 88sum
13141: 2unique | 2count | 790sum
13145: 4unique | 4count | 266sum
13146: 4unique | 4count | 325sum
13147: 1unique | 1count | 13147sum
13151: 1unique | 1count | 13151sum
13152: 3unique | 7count | 150sum
13153: 2unique | 2count | 1886sum
13157: 2unique | 2count | 282sum
13158: 4unique | 5count | 68sum
13159: 1unique | 1count | 13159sum
13163: 1unique | 1count | 13163sum
13164: 3unique | 4count | 1104sum
13165: 2unique | 2count | 2638sum
13169: 3unique | 3count | 1039sum
13170: 4unique | 4count | 449sum
13171: 1unique | 1count | 13171sum
13175: 3unique | 4count | 58sum
13176: 3unique | 7count | 76sum
13177: 1unique | 1count | 13177sum
13181: 2unique | 3count | 283sum
13182: 4unique | 8count | 83sum
13183: 1unique | 1count | 13183sum
13187: 1unique | 1count | 13187sum
13188: 4unique | 5count | 171sum
13189: 3unique | 5count | 153sum
13193: 2unique | 2count | 246sum
13194: 3unique | 4count | 741sum
13195: 5unique | 5count | 67sum
13199: 2unique | 2count | 264sum
13200: 5unique | 9count | 43sum
13201: 2unique | 2count | 350sum
13205: 3unique | 3count | 163sum
13206: 4unique | 4count | 107sum
13207: 2unique | 2count | 328sum
13211: 3unique | 3count | 1223sum
13212: 3unique | 5count | 377sum
13213: 2unique | 2count | 254sum
13217: 1unique | 1count | 13217sum
13218: 3unique | 3count | 2208sum
13219: 1unique | 1count | 13219sum
13223: 2unique | 2count | 1896sum
13224: 4unique | 6count | 57sum
13225: 2unique | 4count | 56sum
13229: 1unique | 1count | 13229sum
13230: 4unique | 7count | 30sum
13231: 2unique | 2count | 232sum
13235: 2unique | 2count | 2652sum
13236: 3unique | 4count | 1110sum
13237: 3unique | 3count | 99sum
13241: 1unique | 1count | 13241sum
13242: 3unique | 3count | 2212sum
13243: 3unique | 3count | 77sum
13247: 3unique | 3count | 1045sum
13248: 3unique | 9count | 41sum
13249: 1unique | 1count | 13249sum
13253: 2unique | 2count | 486sum
13254: 3unique | 4count | 99sum
13255: 4unique | 4count | 268sum
13259: 1unique | 1count | 13259sum
13260: 6unique | 7count | 55sum
13261: 2unique | 2count | 238sum
13265: 3unique | 3count | 391sum
13266: 5unique | 6count | 97sum
13267: 1unique | 1count | 13267sum
13271: 2unique | 2count | 600sum
13272: 4unique | 6count | 95sum
13273: 3unique | 3count | 1047sum
13277: 4unique | 4count | 110sum
13278: 3unique | 3count | 2218sum
13279: 2unique | 3count | 285sum
13283: 2unique | 2count | 396sum
13284: 3unique | 7count | 57sum
13285: 2unique | 2count | 2662sum
13289: 2unique | 2count | 234sum
13290: 4unique | 4count | 453sum
13291: 1unique | 1count | 13291sum
13295: 2unique | 2count | 2664sum
13296: 3unique | 6count | 288sum
13297: 1unique | 1count | 13297sum
13301: 2unique | 2count | 330sum
13302: 3unique | 4count | 747sum
13303: 2unique | 2count | 304sum
13307: 2unique | 2count | 1908sum
13308: 3unique | 4count | 1116sum
13309: 1unique | 1count | 13309sum
13313: 1unique | 1count | 13313sum
13314: 4unique | 4count | 329sum
13315: 2unique | 2count | 2668sum
13319: 2unique | 2count | 720sum
13320: 4unique | 7count | 54sum
13321: 4unique | 4count | 202sum
13325: 4unique | 5count | 77sum
13326: 3unique | 3count | 2226sum
13327: 1unique | 1count | 13327sum
13331: 1unique | 1count | 13331sum
13332: 5unique | 6count | 130sum
13333: 2unique | 2count | 266sum
13337: 1unique | 1count | 13337sum
13338: 5unique | 7count | 56sum
13339: 1unique | 1count | 13339sum
13343: 3unique | 3count | 1235sum
13344: 3unique | 7count | 152sum
13345: 3unique | 3count | 179sum
13349: 2unique | 2count | 1914sum
13350: 4unique | 5count | 104sum
13351: 3unique | 5count | 131sum
13355: 2unique | 2count | 2676sum
13356: 4unique | 6count | 70sum
13357: 2unique | 3count | 75sum
13361: 2unique | 2count | 462sum
13362: 4unique | 4count | 153sum
13363: 3unique | 3count | 113sum
13367: 1unique | 1count | 13367sum
13368: 3unique | 5count | 566sum
13369: 2unique | 2count | 490sum
13373: 2unique | 2count | 354sum
13374: 3unique | 4count | 751sum
13375: 2unique | 4count | 122sum
13379: 2unique | 2count | 804sum
13380: 4unique | 5count | 235sum
13381: 1unique | 1count | 13381sum
13385: 2unique | 2count | 2682sum
13386: 4unique | 4count | 125sum
13387: 3unique | 3count | 1239sum
13391: 2unique | 2count | 1920sum
13392: 3unique | 8count | 48sum
13393: 2unique | 2count | 286sum
13397: 1unique | 1count | 13397sum
13398: 6unique | 6count | 63sum
13399: 1unique | 1count | 13399sum
13403: 3unique | 3count | 1057sum
13404: 3unique | 4count | 1124sum
13405: 3unique | 3count | 395sum
13409: 4unique | 4count | 98sum
13410: 4unique | 5count | 162sum
13411: 1unique | 1count | 13411sum
13415: 2unique | 2count | 2688sum
13416: 5unique | 7count | 78sum
13417: 1unique | 1count | 13417sum
13421: 1unique | 1count | 13421sum
13422: 3unique | 3count | 2242sum
13423: 2unique | 2count | 464sum
13427: 2unique | 2count | 492sum
13428: 3unique | 5count | 383sum
13429: 3unique | 3count | 1059sum
13433: 3unique | 3count | 127sum
13434: 3unique | 3count | 2244sum
13435: 2unique | 2count | 2692sum
13439: 2unique | 2count | 240sum
13440: 4unique | 10count | 29sum
13441: 1unique | 1count | 13441sum
13445: 2unique | 2count | 2694sum
13446: 3unique | 6count | 97sum
13447: 3unique | 3count | 137sum
13451: 1unique | 1count | 13451sum
13452: 4unique | 5count | 85sum
13453: 3unique | 3count | 1245sum
13457: 1unique | 1count | 13457sum
13458: 3unique | 3count | 2248sum
13459: 2unique | 2count | 356sum
13463: 1unique | 1count | 13463sum
13464: 5unique | 8count | 51sum
13465: 2unique | 2count | 2698sum
13469: 1unique | 1count | 13469sum
13470: 4unique | 4count | 459sum
13471: 2unique | 2count | 728sum
13475: 4unique | 6count | 46sum
13476: 3unique | 4count | 1130sum
13477: 1unique | 1count | 13477sum
13481: 4unique | 4count | 104sum
13482: 4unique | 5count | 122sum
13483: 2unique | 2count | 236sum
13487: 1unique | 1count | 13487sum
13488: 3unique | 6count | 292sum
13489: 3unique | 3count | 95sum
13493: 2unique | 2count | 234sum
13494: 5unique | 5count | 204sum
13495: 2unique | 2count | 2704sum
13499: 1unique | 1count | 13499sum
13500: 3unique | 8count | 28sum
13501: 2unique | 2count | 610sum
13505: 3unique | 3count | 115sum
13506: 3unique | 3count | 2256sum
13507: 3unique | 3count | 1065sum
13511: 2unique | 2count | 288sum
13512: 3unique | 5count | 572sum
13513: 1unique | 1count | 13513sum
13517: 2unique | 2count | 1938sum
13518: 3unique | 4count | 759sum
13519: 3unique | 3count | 1251sum
13523: 1unique | 1count | 13523sum
13524: 4unique | 6count | 44sum
13525: 2unique | 3count | 551sum
13529: 2unique | 2count | 246sum
13530: 6unique | 6count | 73sum
13531: 2unique | 2count | 1940sum
13535: 2unique | 2count | 2712sum
13536: 3unique | 8count | 63sum
13537: 1unique | 1count | 13537sum
13541: 3unique | 3count | 1253sum
13542: 4unique | 4count | 103sum
13543: 2unique | 2count | 496sum
13547: 3unique | 3count | 73sum
13548: 3unique | 4count | 1136sum
13549: 2unique | 2count | 814sum
13553: 1unique | 1count | 13553sum
13554: 3unique | 5count | 262sum
13555: 2unique | 2count | 2716sum
13559: 4unique | 4count | 182sum
13560: 4unique | 6count | 127sum
13561: 2unique | 2count | 262sum
13565: 2unique | 2count | 2718sum
13566: 5unique | 5count | 48sum
13567: 1unique | 1count | 13567sum
13571: 2unique | 2count | 372sum
13572: 5unique | 7count | 65sum
13573: 2unique | 3count | 291sum
13577: 1unique | 1count | 13577sum
13578: 4unique | 4count | 109sum
13579: 2unique | 2count | 404sum
13583: 2unique | 3count | 81sum
13584: 3unique | 6count | 294sum
13585: 6unique | 6count | 72sum
13589: 2unique | 2count | 234sum
13590: 4unique | 5count | 164sum
13591: 1unique | 1count | 13591sum
13595: 2unique | 2count | 2724sum
13596: 5unique | 6count | 132sum
13597: 1unique | 1count | 13597sum
13601: 3unique | 3count | 103sum
13602: 3unique | 3count | 2272sum
13603: 2unique | 2count | 284sum
13607: 3unique | 3count | 1259sum
13608: 3unique | 9count | 28sum
13609: 2unique | 2count | 470sum
13613: 1unique | 1count | 13613sum
13614: 3unique | 3count | 2274sum
13615: 3unique | 3count | 401sum
13619: 1unique | 1count | 13619sum
13620: 4unique | 5count | 239sum
13621: 2unique | 2count | 310sum
13625: 2unique | 4count | 124sum
13626: 3unique | 4count | 765sum
13627: 1unique | 1count | 13627sum
13631: 2unique | 2count | 360sum
13632: 3unique | 8count | 86sum
13633: 1unique | 1count | 13633sum
13637: 3unique | 3count | 1075sum
13638: 3unique | 3count | 2278sum
13639: 2unique | 2count | 616sum
13643: 2unique | 2count | 1956sum
13644: 3unique | 5count | 389sum
13645: 2unique | 2count | 2734sum
13649: 1unique | 1count | 13649sum
13650: 6unique | 7count | 48sum
13651: 4unique | 4count | 112sum
13655: 2unique | 2count | 2736sum
13656: 3unique | 5count | 578sum
13657: 2unique | 2count | 1958sum
13661: 2unique | 2count | 738sum
13662: 5unique | 7count | 56sum
13663: 3unique | 3count | 1077sum
13667: 2unique | 2count | 252sum
13668: 4unique | 5count | 91sum
13669: 1unique | 1count | 13669sum
13673: 3unique | 5count | 157sum
13674: 4unique | 4count | 101sum
13675: 2unique | 3count | 557sum
13679: 1unique | 1count | 13679sum
13680: 4unique | 8count | 38sum
13681: 1unique | 1count | 13681sum
13685: 4unique | 4count | 52sum
13686: 3unique | 3count | 2286sum
13687: 1unique | 1count | 13687sum
13691: 1unique | 1count | 13691sum
13692: 4unique | 5count | 177sum
13693: 1unique | 1count | 13693sum
13697: 1unique | 1count | 13697sum
13698: 3unique | 4count | 769sum
13699: 3unique | 3count | 129sum
13703: 2unique | 2count | 264sum
13704: 3unique | 5count | 580sum
13705: 2unique | 2count | 2746sum
13709: 1unique | 1count | 13709sum
13710: 4unique | 4count | 467sum
13711: 1unique | 1count | 13711sum
13715: 4unique | 4count | 242sum
13716: 3unique | 6count | 140sum
13717: 4unique | 4count | 94sum
13721: 1unique | 1count | 13721sum
13722: 3unique | 3count | 2292sum
13723: 1unique | 1count | 13723sum
13727: 3unique | 3count | 97sum
13728: 6unique | 10count | 61sum
13729: 1unique | 1count | 13729sum
13733: 2unique | 2count | 474sum
13734: 4unique | 5count | 124sum
13735: 3unique | 3count | 113sum
13739: 3unique | 3count | 1271sum
13740: 4unique | 5count | 241sum
13741: 4unique | 4count | 184sum
13745: 2unique | 2count | 2754sum
13746: 4unique | 4count | 113sum
13747: 2unique | 2count | 292sum
13751: 1unique | 1count | 13751sum
13752: 3unique | 6count | 203sum
13753: 2unique | 2count | 826sum
13757: 1unique | 1count | 13757sum
13758: 3unique | 3count | 2298sum
13759: 1unique | 1count | 13759sum
13763: 1unique | 1count | 13763sum
13764: 4unique | 5count | 75sum
13765: 2unique | 2count | 2758sum
13769: 2unique | 3count | 295sum
13770: 4unique | 7count | 36sum
13771: 2unique | 2count | 340sum
13775: 3unique | 4count | 58sum
13776: 4unique | 7count | 59sum
13777: 2unique | 2count | 622sum
13781: 1unique | 1count | 13781sum
13782: 3unique | 3count | 2302sum
13783: 4unique | 4count | 208sum
13787: 2unique | 2count | 828sum
13788: 3unique | 5count | 393sum
13789: 1unique | 1count | 13789sum
13793: 3unique | 3count | 1087sum
13794: 5unique | 7count | 68sum
13795: 3unique | 3count | 125sum
13799: 1unique | 1count | 13799sum
13800: 4unique | 7count | 42sum
13801: 2unique | 2count | 410sum
13805: 4unique | 4count | 278sum
13806: 5unique | 6count | 93sum
13807: 1unique | 1count | 13807sum
13811: 2unique | 2count | 1980sum
13812: 3unique | 4count | 1158sum
13813: 2unique | 2count | 746sum
13817: 2unique | 2count | 378sum
13818: 4unique | 5count | 66sum
13819: 3unique | 3count | 1089sum
13823: 2unique | 2count | 624sum
13824: 2unique | 12count | 27sum
13825: 3unique | 4count | 96sum
13829: 1unique | 1count | 13829sum
13830: 4unique | 4count | 471sum
13831: 1unique | 1count | 13831sum
13835: 2unique | 2count | 2772sum
13836: 3unique | 4count | 1160sum
13837: 2unique | 2count | 238sum
13841: 1unique | 1count | 13841sum
13842: 3unique | 4count | 777sum
13843: 2unique | 2count | 236sum
13847: 2unique | 2count | 288sum
13848: 3unique | 5count | 586sum
13849: 3unique | 3count | 1281sum
13853: 2unique | 2count | 1986sum
13854: 3unique | 3count | 2314sum
13855: 3unique | 3count | 185sum
13859: 1unique | 1count | 13859sum
13860: 6unique | 8count | 44sum
13861: 2unique | 2count | 250sum
13865: 3unique | 3count | 111sum
13866: 3unique | 3count | 2316sum
13867: 2unique | 3count | 297sum
13871: 5unique | 5count | 145sum
13872: 3unique | 7count | 45sum
13873: 1unique | 1count | 13873sum
13877: 1unique | 1count | 13877sum
13878: 3unique | 5count | 268sum
13879: 1unique | 1count | 13879sum
13883: 1unique | 1count | 13883sum
13884: 5unique | 6count | 122sum
13885: 2unique | 2count | 2782sum
13889: 3unique | 3count | 79sum
13890: 4unique | 4count | 473sum
13891: 2unique | 2count | 508sum
13895: 3unique | 3count | 409sum
13896: 3unique | 6count | 205sum
13897: 3unique | 3count | 1095sum
13901: 1unique | 1count | 13901sum
13902: 4unique | 4count | 343sum
13903: 1unique | 1count | 13903sum
13907: 1unique | 1count | 13907sum
13908: 4unique | 5count | 87sum
13909: 2unique | 2count | 1994sum
13913: 1unique | 1count | 13913sum
13914: 3unique | 4count | 781sum
13915: 4unique | 6count | 72sum
13919: 2unique | 2count | 480sum
13920: 4unique | 8count | 47sum
13921: 1unique | 1count | 13921sum
13925: 2unique | 3count | 567sum
13926: 5unique | 5count | 238sum
13927: 2unique | 2count | 752sum
13931: 1unique | 1count | 13931sum
13932: 3unique | 7count | 59sum
13933: 1unique | 1count | 13933sum
13937: 4unique | 4count | 210sum
13938: 4unique | 4count | 129sum
13939: 2unique | 2count | 316sum
13943: 2unique | 2count | 264sum
13944: 4unique | 6count | 99sum
13945: 2unique | 2count | 2794sum
13949: 4unique | 4count | 92sum
13950: 4unique | 6count | 49sum
13951: 2unique | 2count | 2000sum
13955: 2unique | 2count | 2796sum
13956: 3unique | 4count | 1170sum
13957: 2unique | 2count | 838sum
13961: 2unique | 2count | 630sum
13962: 5unique | 5count | 210sum
13963: 1unique | 1count | 13963sum
13967: 1unique | 1count | 13967sum
13968: 3unique | 7count | 111sum
13969: 2unique | 2count | 290sum
13973: 2unique | 2count | 246sum
13974: 4unique | 4count | 159sum
13975: 4unique | 5count | 79sum
13979: 2unique | 2count | 2004sum
13980: 4unique | 5count | 245sum
13981: 4unique | 4count | 94sum
13985: 2unique | 2count | 2802sum
13986: 4unique | 6count | 55sum
13987: 2unique | 2count | 268sum
13991: 2unique | 2count | 840sum
13992: 5unique | 7count | 84sum
13993: 2unique | 2count | 2006sum
13997: 1unique | 1count | 13997sum
13998: 3unique | 3count | 2338sum
13999: 1unique | 1count | 13999sum
14003: 4unique | 4count | 108sum
14004: 3unique | 5count | 399sum
14005: 2unique | 2count | 2806sum
14009: 1unique | 1count | 14009sum
14010: 4unique | 4count | 477sum
14011: 1unique | 1count | 14011sum
14015: 2unique | 2count | 2808sum
14016: 3unique | 8count | 88sum
14017: 2unique | 2count | 238sum
14021: 2unique | 2count | 2010sum
14022: 4unique | 5count | 68sum
14023: 2unique | 2count | 416sum
14027: 3unique | 5count | 135sum
14028: 4unique | 5count | 181sum
14029: 1unique | 1count | 14029sum
14033: 1unique | 1count | 14033sum
14034: 3unique | 3count | 2344sum
14035: 3unique | 3count | 413sum
14039: 2unique | 2count | 240sum
14040: 5unique | 9count | 46sum
14041: 2unique | 2count | 758sum
14045: 2unique | 3count | 111sum
14046: 3unique | 3count | 2346sum
14047: 3unique | 3count | 1299sum
14051: 1unique | 1count | 14051sum
14052: 3unique | 4count | 1178sum
14053: 4unique | 4count | 96sum
14057: 1unique | 1count | 14057sum
14058: 5unique | 6count | 101sum
14059: 2unique | 2count | 844sum
14063: 2unique | 4count | 62sum
14064: 3unique | 6count | 304sum
14065: 3unique | 3count | 131sum
14069: 3unique | 3count | 1301sum
14070: 5unique | 5count | 84sum
14071: 1unique | 1count | 14071sum
14075: 2unique | 3count | 573sum
14076: 4unique | 6count | 50sum
14077: 2unique | 2count | 2018sum
14081: 1unique | 1count | 14081sum
14082: 3unique | 3count | 2352sum
14083: 1unique | 1count | 14083sum
14087: 1unique | 1count | 14087sum
14088: 3unique | 5count | 596sum
14089: 2unique | 2count | 266sum
14093: 2unique | 2count | 846sum
14094: 3unique | 7count | 46sum
14095: 2unique | 2count | 2824sum
14099: 2unique | 2count | 636sum
14100: 4unique | 6count | 64sum
14101: 2unique | 2count | 298sum
14105: 5unique | 5count | 69sum
14106: 3unique | 3count | 2356sum
14107: 1unique | 1count | 14107sum
14111: 2unique | 2count | 240sum
14112: 3unique | 9count | 30sum
14113: 3unique | 3count | 1305sum
14117: 2unique | 2count | 762sum
14118: 5unique | 5count | 212sum
14119: 2unique | 2count | 2024sum
14123: 2unique | 2count | 516sum
14124: 5unique | 6count | 136sum
14125: 2unique | 4count | 128sum
14129: 2unique | 2count | 270sum
14130: 4unique | 5count | 170sum
14131: 3unique | 3count | 1113sum
14135: 4unique | 4count | 284sum
14136: 4unique | 6count | 59sum
14137: 2unique | 2count | 278sum
14141: 2unique | 2count | 258sum
14142: 3unique | 3count | 2362sum
14143: 1unique | 1count | 14143sum
14147: 3unique | 3count | 97sum
14148: 3unique | 6count | 144sum
14149: 1unique | 1count | 14149sum
14153: 1unique | 1count | 14153sum
14154: 4unique | 4count | 349sum
14155: 3unique | 3count | 173sum
14159: 1unique | 1count | 14159sum
14160: 4unique | 7count | 75sum
14161: 2unique | 4count | 48sum
14165: 2unique | 2count | 2838sum
14166: 3unique | 4count | 795sum
14167: 2unique | 2count | 488sum
14171: 2unique | 2count | 420sum
14172: 3unique | 4count | 1188sum
14173: 1unique | 1count | 14173sum
14177: 1unique | 1count | 14177sum
14178: 4unique | 4count | 161sum
14179: 3unique | 3count | 1311sum
14183: 3unique | 3count | 1117sum
14184: 3unique | 6count | 209sum
14185: 2unique | 2count | 2842sum
14189: 2unique | 2count | 2034sum
14190: 6unique | 6count | 75sum
14191: 2unique | 2count | 640sum
14195: 3unique | 3count | 189sum
14196: 5unique | 8count | 66sum
14197: 1unique | 1count | 14197sum
14201: 3unique | 3count | 1313sum
14202: 3unique | 5count | 274sum
14203: 2unique | 2count | 2036sum
14207: 1unique | 1count | 14207sum
14208: 3unique | 9count | 54sum
14209: 3unique | 3count | 1119sum
14213: 2unique | 2count | 294sum
14214: 4unique | 4count | 131sum
14215: 2unique | 2count | 2848sum
14219: 2unique | 2count | 300sum
14220: 4unique | 6count | 94sum
14221: 1unique | 1count | 14221sum
14225: 2unique | 3count | 579sum
14226: 3unique | 3count | 2376sum
14227: 2unique | 2count | 388sum
14231: 3unique | 3count | 133sum
14232: 3unique | 5count | 602sum
14233: 2unique | 2count | 374sum
14237: 2unique | 2count | 642sum
14238: 4unique | 5count | 128sum
14239: 2unique | 2count | 520sum
14243: 1unique | 1count | 14243sum
14244: 3unique | 4count | 1194sum
14245: 5unique | 5count | 71sum
14249: 1unique | 1count | 14249sum
14250: 4unique | 6count | 39sum
14251: 1unique | 1count | 14251sum
14255: 2unique | 2count | 2856sum
14256: 4unique | 10count | 42sum
14257: 2unique | 2count | 322sum
14261: 3unique | 3count | 1123sum
14262: 3unique | 3count | 2382sum
14263: 2unique | 2count | 856sum
14267: 3unique | 3count | 1319sum
14268: 4unique | 5count | 77sum
14269: 2unique | 2count | 770sum
14273: 2unique | 2count | 2046sum
14274: 5unique | 6count | 95sum
14275: 2unique | 3count | 581sum
14279: 2unique | 2count | 240sum
14280: 5unique | 7count | 38sum
14281: 1unique | 1count | 14281sum
14285: 2unique | 2count | 2862sum
14286: 3unique | 3count | 2386sum
14287: 4unique | 4count | 190sum
14291: 2unique | 2count | 492sum
14292: 3unique | 5count | 407sum
14293: 1unique | 1count | 14293sum
14297: 2unique | 3count | 75sum
14298: 3unique | 3count | 2388sum
14299: 2unique | 2count | 260sum
14303: 1unique | 1count | 14303sum
14304: 3unique | 7count | 162sum
14305: 2unique | 2count | 2866sum
14309: 2unique | 2count | 390sum
14310: 4unique | 6count | 69sum
14311: 3unique | 3count | 1323sum
14315: 3unique | 3count | 421sum
14316: 3unique | 4count | 1200sum
14317: 2unique | 2count | 242sum
14321: 1unique | 1count | 14321sum
14322: 6unique | 6count | 65sum
14323: 1unique | 1count | 14323sum
14327: 1unique | 1count | 14327sum
14328: 3unique | 6count | 211sum
14329: 3unique | 3count | 119sum
14333: 3unique | 3count | 1325sum
14334: 3unique | 3count | 2394sum
14335: 3unique | 3count | 113sum
14339: 3unique | 3count | 1129sum
14340: 4unique | 5count | 251sum
14341: 1unique | 1count | 14341sum
14345: 3unique | 3count | 175sum
14346: 3unique | 4count | 805sum
14347: 1unique | 1count | 14347sum
14351: 2unique | 2count | 240sum
14352: 5unique | 8count | 60sum
14353: 2unique | 2count | 494sum
14357: 2unique | 3count | 307sum
14358: 3unique | 3count | 2398sum
14359: 2unique | 2count | 256sum
14363: 2unique | 2count | 324sum
14364: 4unique | 7count | 39sum
14365: 4unique | 6count | 74sum
14369: 1unique | 1count | 14369sum
14370: 4unique | 4count | 489sum
14371: 2unique | 2count | 2060sum
14375: 2unique | 5count | 43sum
14376: 3unique | 5count | 608sum
14377: 3unique | 3count | 1329sum
14381: 2unique | 2count | 270sum
14382: 4unique | 5count | 72sum
14383: 2unique | 2count | 776sum
14387: 1unique | 1count | 14387sum
14388: 5unique | 6count | 138sum
14389: 1unique | 1count | 14389sum
14393: 2unique | 2count | 426sum
14394: 3unique | 3count | 2404sum
14395: 2unique | 2count | 2884sum
14399: 4unique | 6count | 68sum
14400: 3unique | 10count | 28sum
14401: 1unique | 1count | 14401sum
14405: 3unique | 3count | 115sum
14406: 3unique | 6count | 33sum
14407: 1unique | 1count | 14407sum
14411: 1unique | 1count | 14411sum
14412: 3unique | 4count | 1208sum
14413: 3unique | 3count | 107sum
14417: 3unique | 3count | 1135sum
14418: 3unique | 6count | 103sum
14419: 1unique | 1count | 14419sum
14423: 1unique | 1count | 14423sum
14424: 3unique | 5count | 610sum
14425: 2unique | 3count | 587sum
14429: 2unique | 2count | 354sum
14430: 6unique | 6count | 73sum
14431: 1unique | 1count | 14431sum
14435: 2unique | 2count | 2892sum
14436: 3unique | 5count | 411sum
14437: 1unique | 1count | 14437sum
14441: 2unique | 2count | 2070sum
14442: 4unique | 4count | 117sum
14443: 5unique | 5count | 149sum
14447: 1unique | 1count | 14447sum
14448: 4unique | 7count | 61sum
14449: 1unique | 1count | 14449sum
14453: 2unique | 2count | 246sum
14454: 5unique | 6count | 103sum
14455: 3unique | 4count | 78sum
14459: 2unique | 2count | 780sum
