16002: 4uniques | 5count | 142sum
16003: 2uniques | 2count | 1244sum
16004: 2uniques | 3count | 4005sum
16005: 4uniques | 4count | 116sum
16006: 3uniques | 3count | 206sum
16007: 1uniques | 1count | 0sum
16008: 4uniques | 6count | 61sum
16009: 2uniques | 2count | 2294sum
16010: 3uniques | 3count | 1608sum
16011: 2uniques | 4count | 602sum
16012: 2uniques | 3count | 4007sum
16013: 2uniques | 2count | 306sum
16014: 4uniques | 4count | 179sum
16015: 2uniques | 2count | 3208sum
16016: 4uniques | 7count | 39sum
16017: 3uniques | 3count | 303sum
16018: 2uniques | 2count | 8011sum
16019: 2uniques | 2count | 276sum
16020: 4uniques | 6count | 104sum
16021: 2uniques | 2count | 470sum
16022: 2uniques | 2count | 8013sum
16023: 3uniques | 4count | 126sum
16024: 2uniques | 4count | 2009sum
16025: 2uniques | 3count | 651sum
16026: 3uniques | 3count | 2676sum
16027: 3uniques | 3count | 89sum
16028: 2uniques | 3count | 4011sum
16029: 3uniques | 4count | 156sum
16030: 4uniques | 4count | 243sum
16031: 3uniques | 3count | 81sum
16032: 3uniques | 7count | 180sum
16033: 1uniques | 1count | 0sum
16034: 2uniques | 2count | 8019sum
16035: 3uniques | 3count | 1077sum
16036: 3uniques | 4count | 234sum
16037: 3uniques | 3count | 115sum
16038: 3uniques | 8count | 31sum
16039: 2uniques | 2count | 416sum
16040: 3uniques | 5count | 412sum
16041: 2uniques | 2count | 5350sum
16042: 3uniques | 3count | 632sum
16043: 2uniques | 2count | 324sum
16044: 4uniques | 5count | 205sum
16045: 2uniques | 2count | 3214sum
16046: 3uniques | 3count | 186sum
16047: 2uniques | 3count | 1789sum
16048: 3uniques | 6count | 84sum
16049: 2uniques | 2count | 1470sum
16050: 4uniques | 5count | 122sum
16051: 2uniques | 2count | 2300sum
16052: 2uniques | 3count | 4017sum
16053: 2uniques | 2count | 5354sum
16054: 3uniques | 3count | 374sum
16055: 3uniques | 4count | 50sum
16056: 3uniques | 6count | 235sum
16057: 1uniques | 1count | 0sum
16058: 4uniques | 4count | 77sum
16059: 3uniques | 3count | 157sum
16060: 4uniques | 5count | 93sum
16061: 1uniques | 1count | 0sum
16062: 3uniques | 3count | 2682sum
16063: 1uniques | 1count | 0sum
16064: 2uniques | 7count | 263sum
16065: 4uniques | 6count | 38sum
16066: 3uniques | 3count | 308sum
16067: 1uniques | 1count | 0sum
16068: 4uniques | 5count | 123sum
16069: 1uniques | 1count | 0sum
16070: 3uniques | 3count | 1614sum
16071: 3uniques | 3count | 501sum
16072: 3uniques | 6count | 61sum
16073: 1uniques | 1count | 0sum
16074: 4uniques | 5count | 74sum
16075: 2uniques | 3count | 653sum
16076: 2uniques | 3count | 4023sum
16077: 3uniques | 3count | 259sum
16078: 2uniques | 2count | 8041sum
16079: 2uniques | 2count | 2304sum
16080: 4uniques | 7count | 83sum
16081: 2uniques | 2count | 1250sum
16082: 4uniques | 4count | 73sum
16083: 2uniques | 3count | 1793sum
16084: 2uniques | 3count | 4025sum
16085: 2uniques | 2count | 3222sum
16086: 4uniques | 4count | 395sum
16087: 1uniques | 1count | 0sum
16088: 2uniques | 4count | 2017sum
16089: 3uniques | 3count | 207sum
16090: 3uniques | 3count | 1616sum
16091: 1uniques | 1count | 0sum
16092: 3uniques | 6count | 162sum
16093: 3uniques | 4count | 48sum
16094: 3uniques | 3count | 634sum
16095: 4uniques | 4count | 74sum
16096: 2uniques | 6count | 513sum
16097: 1uniques | 1count | 0sum
16098: 3uniques | 3count | 2688sum
16099: 2uniques | 2count | 964sum
16100: 4uniques | 6count | 44sum
16101: 2uniques | 3count | 1795sum
16102: 3uniques | 3count | 182sum
16103: 1uniques | 1count | 0sum
16104: 4uniques | 6count | 81sum
16105: 2uniques | 2count | 3226sum
16106: 2uniques | 2count | 8055sum
16107: 4uniques | 4count | 82sum
16108: 2uniques | 3count | 4031sum
16109: 2uniques | 2count | 270sum
16110: 4uniques | 5count | 192sum
16111: 1uniques | 1count | 0sum
16112: 3uniques | 6count | 80sum
16113: 3uniques | 3count | 175sum
16114: 3uniques | 3count | 1160sum
16115: 3uniques | 3count | 309sum
16116: 4uniques | 5count | 103sum
16117: 2uniques | 2count | 298sum
16118: 2uniques | 2count | 8061sum
16119: 2uniques | 5count | 211sum
16120: 4uniques | 6count | 55sum
16121: 2uniques | 4count | 68sum
16122: 3uniques | 3count | 2692sum
16123: 2uniques | 2count | 724sum
16124: 3uniques | 4count | 172sum
16125: 3uniques | 5count | 61sum
16126: 3uniques | 3count | 746sum
16127: 1uniques | 1count | 0sum
16128: 3uniques | 11count | 29sum
16129: 1uniques | 2count | 254sum
16130: 3uniques | 3count | 1620sum
16131: 3uniques | 3count | 305sum
16132: 3uniques | 4count | 150sum
16133: 3uniques | 3count | 103sum
16134: 3uniques | 3count | 2694sum
16135: 3uniques | 3count | 473sum
16136: 2uniques | 4count | 2023sum
