403: 2unique | 2count | 44sum
407: 2unique | 2count | 48sum
408: 3unique | 5count | 26sum
409: 1unique | 1count | 409sum
413: 2unique | 2count | 66sum
414: 3unique | 4count | 31sum
415: 2unique | 2count | 88sum
419: 1unique | 1count | 419sum
420: 4unique | 5count | 19sum
421: 1unique | 1count | 421sum
425: 2unique | 3count | 27sum
426: 3unique | 3count | 76sum
427: 2unique | 2count | 68sum
431: 1unique | 1count | 431sum
432: 2unique | 7count | 17sum
433: 1unique | 1count | 433sum
437: 2unique | 2count | 42sum
438: 3unique | 3count | 78sum
439: 1unique | 1count | 439sum
443: 1unique | 1count | 443sum
444: 3unique | 4count | 44sum
445: 2unique | 2count | 94sum
449: 1unique | 1count | 449sum
450: 3unique | 5count | 18sum
451: 2unique | 2count | 52sum
455: 3unique | 3count | 25sum
456: 3unique | 5count | 28sum
457: 1unique | 1count | 457sum
461: 1unique | 1count | 461sum
462: 4unique | 4count | 23sum
463: 1unique | 1count | 463sum
467: 1unique | 1count | 467sum
468: 3unique | 5count | 23sum
469: 2unique | 2count | 74sum
473: 2unique | 2count | 54sum
474: 3unique | 3count | 84sum
475: 2unique | 3count | 29sum
479: 1unique | 1count | 479sum
480: 3unique | 7count | 18sum
481: 2unique | 2count | 50sum
485: 2unique | 2count | 102sum
486: 2unique | 6count | 17sum
487: 1unique | 1count | 487sum
491: 1unique | 1count | 491sum
492: 3unique | 4count | 48sum
493: 2unique | 2count | 46sum
497: 2unique | 2count | 78sum
498: 3unique | 3count | 88sum
499: 1unique | 1count | 499sum
503: 1unique | 1count | 503sum
504: 3unique | 6count | 19sum
505: 2unique | 2count | 106sum
509: 1unique | 1count | 509sum
510: 4unique | 4count | 27sum
511: 2unique | 2count | 80sum
515: 2unique | 2count | 108sum
516: 3unique | 4count | 50sum
517: 2unique | 2count | 58sum
521: 1unique | 1count | 521sum
522: 3unique | 4count | 37sum
523: 1unique | 1count | 523sum
527: 2unique | 2count | 48sum
528: 3unique | 6count | 22sum
529: 1unique | 2count | 46sum
533: 2unique | 2count | 54sum
534: 3unique | 3count | 94sum
535: 2unique | 2count | 112sum
539: 2unique | 3count | 25sum
540: 3unique | 6count | 18sum
541: 1unique | 1count | 541sum
545: 2unique | 2count | 114sum
546: 4unique | 4count | 25sum
547: 1unique | 1count | 547sum
551: 2unique | 2count | 48sum
552: 3unique | 5count | 32sum
