110003: 2unique | 2count | 2724sum
110004: 4unique | 5count | 199sum
110005: 3unique | 4count | 468sum
110009: 2unique | 2count | 4806sum
110010: 5unique | 5count | 222sum
110011: 3unique | 3count | 221sum
110015: 2unique | 2count | 22008sum
110016: 3unique | 9count | 209sum
110017: 1unique | 1count | 110017sum
110021: 2unique | 2count | 678sum
110022: 4unique | 4count | 1683sum
110023: 1unique | 1count | 110023sum
110027: 2unique | 2count | 2388sum
110028: 4unique | 5count | 233sum
110029: 2unique | 2count | 5810sum
110033: 3unique | 3count | 1447sum
110034: 3unique | 4count | 6121sum
110035: 3unique | 3count | 437sum
110039: 1unique | 1count | 110039sum
110040: 5unique | 7count | 152sum
110041: 2unique | 2count | 6490sum
110045: 3unique | 3count | 1711sum
110046: 3unique | 3count | 18346sum
110047: 3unique | 3count | 285sum
110051: 1unique | 1count | 110051sum
110052: 3unique | 6count | 1032sum
110053: 2unique | 2count | 826sum
110057: 2unique | 2count | 858sum
110058: 5unique | 5count | 118sum
110059: 1unique | 1count | 110059sum
110063: 1unique | 1count | 110063sum
110064: 3unique | 6count | 2304sum
110065: 2unique | 2count | 22018sum
110069: 1unique | 1count | 110069sum
110070: 4unique | 5count | 1236sum
110071: 2unique | 2count | 8480sum
110075: 4unique | 5count | 71sum
110076: 3unique | 4count | 9180sum
110077: 2unique | 2count | 10018sum
110081: 3unique | 3count | 151sum
110082: 4unique | 4count | 2633sum
110083: 1unique | 1count | 110083sum
110087: 2unique | 2count | 672sum
110088: 4unique | 7count | 162sum
110089: 2unique | 2count | 15734sum
110093: 2unique | 2count | 1326sum
110094: 4unique | 4count | 375sum
110095: 3unique | 3count | 329sum
110099: 2unique | 2count | 10020sum
110100: 4unique | 6count | 384sum
110101: 2unique | 2count | 4810sum
110105: 3unique | 4count | 104sum
110106: 3unique | 5count | 2050sum
110107: 2unique | 2count | 1172sum
110111: 2unique | 2count | 888sum
110112: 4unique | 8count | 81sum
110113: 2unique | 2count | 3826sum
110117: 2unique | 2count | 15738sum
110118: 3unique | 3count | 18358sum
110119: 1unique | 1count | 110119sum
110123: 3unique | 3count | 253sum
110124: 5unique | 7count | 59sum
110125: 2unique | 4count | 896sum
110129: 1unique | 1count | 110129sum
110130: 4unique | 4count | 3681sum
110131: 2unique | 2count | 15740sum
110135: 2unique | 2count | 22032sum
110136: 4unique | 6count | 375sum
110137: 2unique | 2count | 698sum
110141: 2unique | 2count | 1410sum
110142: 4unique | 5count | 248sum
110143: 4unique | 4count | 78sum
110147: 2unique | 2count | 4812sum
110148: 4unique | 5count | 211sum
110149: 3unique | 3count | 279sum
110153: 2unique | 2count | 1926sum
110154: 4unique | 4count | 1685sum
110155: 2unique | 2count | 22036sum
110159: 2unique | 2count | 15744sum
110160: 4unique | 10count | 42sum
110161: 1unique | 1count | 110161sum
110165: 3unique | 3count | 2019sum
110166: 5unique | 5count | 116sum
110167: 2unique | 2count | 2728sum
110171: 2unique | 3count | 189sum
110172: 3unique | 4count | 9188sum
110173: 2unique | 2count | 15746sum
110177: 2unique | 2count | 6498sum
110178: 3unique | 4count | 6129sum
110179: 2unique | 2count | 700sum
110183: 1unique | 1count | 110183sum
110184: 3unique | 5count | 4600sum
110185: 2unique | 2count | 22042sum
110189: 2unique | 2count | 690sum
