20176: 3uniques | 6count | 118sum
20177: 1uniques | 1count | 0sum
20178: 4uniques | 5count | 86sum
20179: 2uniques | 2count | 1204sum
20180: 3uniques | 4count | 1018sum
20181: 3uniques | 4count | 72sum
20182: 2uniques | 2count | 10093sum
20183: 1uniques | 1count | 0sum
20184: 3uniques | 6count | 67sum
20185: 3uniques | 3count | 383sum
20186: 2uniques | 2count | 10095sum
20187: 2uniques | 3count | 2249sum
20188: 3uniques | 5count | 121sum
20189: 2uniques | 2count | 1566sum
20190: 4uniques | 4count | 683sum
20191: 2uniques | 2count | 392sum
20192: 2uniques | 6count | 641sum
20193: 3uniques | 3count | 183sum
20194: 3uniques | 3count | 464sum
20195: 3uniques | 3count | 589sum
20196: 4uniques | 7count | 41sum
20197: 2uniques | 2count | 1082sum
20198: 2uniques | 2count | 10101sum
20199: 2uniques | 2count | 6736sum
20200: 3uniques | 6count | 117sum
20201: 1uniques | 1count | 0sum
20202: 5uniques | 5count | 62sum
20203: 2uniques | 2count | 316sum
20204: 2uniques | 3count | 5055sum
20205: 3uniques | 4count | 460sum
20206: 2uniques | 2count | 10105sum
20207: 2uniques | 3count | 189sum
20208: 3uniques | 6count | 432sum
20209: 2uniques | 2count | 2894sum
20210: 4uniques | 4count | 97sum
20211: 2uniques | 2count | 6740sum
20212: 3uniques | 4count | 198sum
20213: 3uniques | 3count | 87sum
20214: 3uniques | 4count | 1131sum
20215: 3uniques | 3count | 329sum
20216: 3uniques | 6count | 51sum
20217: 3uniques | 3count | 319sum
20218: 3uniques | 3count | 932sum
20219: 1uniques | 1count | 0sum
20220: 4uniques | 5count | 349sum
20221: 2uniques | 2count | 350sum
20222: 2uniques | 2count | 10113sum
20223: 3uniques | 5count | 123sum
20224: 2uniques | 9count | 95sum
20225: 2uniques | 3count | 819sum
20226: 3uniques | 3count | 3376sum
20227: 2uniques | 2count | 292sum
20228: 3uniques | 4count | 406sum
20229: 3uniques | 3count | 627sum
20230: 4uniques | 5count | 48sum
20231: 1uniques | 1count | 0sum
20232: 3uniques | 6count | 293sum
20233: 1uniques | 1count | 0sum
20234: 3uniques | 3count | 220sum
20235: 4uniques | 4count | 98sum
20236: 2uniques | 3count | 5063sum
20237: 2uniques | 4count | 80sum
20238: 3uniques | 3count | 3378sum
20239: 2uniques | 2count | 584sum
20240: 4uniques | 7count | 47sum
20241: 3uniques | 4count | 192sum
20242: 3uniques | 3count | 380sum
20243: 2uniques | 2count | 684sum
20244: 4uniques | 5count | 255sum
20245: 2uniques | 2count | 4054sum
20246: 3uniques | 3count | 246sum
20247: 3uniques | 3count | 417sum
20248: 2uniques | 4count | 2537sum
20249: 1uniques | 1count | 0sum
20250: 3uniques | 8count | 29sum
20251: 3uniques | 3count | 281sum
20252: 3uniques | 4count | 148sum
20253: 3uniques | 3count | 203sum
20254: 4uniques | 4count | 75sum
20255: 2uniques | 2count | 4056sum
20256: 3uniques | 7count | 224sum
20257: 2uniques | 2count | 478sum
