135365: 2unique | 2count | 27078sum
135366: 5unique | 5count | 316sum
135367: 1unique | 1count | 135367sum
135371: 2unique | 2count | 7980sum
135372: 4unique | 5count | 425sum
135373: 3unique | 3count | 323sum
135377: 3unique | 3count | 439sum
135378: 4unique | 6count | 143sum
135379: 2unique | 2count | 740sum
135383: 2unique | 2count | 3696sum
135384: 3unique | 5count | 5650sum
135385: 2unique | 2count | 27082sum
135389: 1unique | 1count | 135389sum
135390: 4unique | 4count | 4523sum
135391: 1unique | 1count | 135391sum
135395: 3unique | 3count | 2101sum
135396: 3unique | 5count | 3771sum
135397: 2unique | 2count | 1978sum
135401: 3unique | 4count | 88sum
135402: 3unique | 3count | 22572sum
135403: 1unique | 1count | 135403sum
135407: 3unique | 3count | 157sum
135408: 5unique | 8count | 62sum
135409: 1unique | 1count | 135409sum
135413: 2unique | 2count | 7146sum
135414: 3unique | 4count | 7531sum
135415: 4unique | 4count | 138sum
135419: 2unique | 2count | 900sum
135420: 5unique | 6count | 110sum
135421: 3unique | 3count | 971sum
135425: 2unique | 3count | 5427sum
135426: 3unique | 3count | 22576sum
135427: 1unique | 1count | 135427sum
135431: 1unique | 1count | 135431sum
135432: 4unique | 9count | 48sum
135433: 1unique | 1count | 135433sum
135437: 2unique | 2count | 978sum
135438: 3unique | 3count | 22578sum
135439: 3unique | 3count | 305sum
135443: 3unique | 3count | 1777sum
135444: 3unique | 4count | 11294sum
135445: 3unique | 3count | 371sum
135449: 1unique | 1count | 135449sum
135450: 5unique | 7count | 68sum
135451: 2unique | 2count | 7148sum
135455: 2unique | 2count | 27096sum
135456: 4unique | 8count | 113sum
135457: 3unique | 3count | 567sum
135461: 1unique | 1count | 135461sum
135462: 4unique | 4count | 323sum
135463: 1unique | 1count | 135463sum
135467: 1unique | 1count | 135467sum
135468: 4unique | 6count | 134sum
135469: 1unique | 1count | 135469sum
135473: 3unique | 3count | 643sum
135474: 4unique | 4count | 409sum
135475: 2unique | 3count | 5429sum
135479: 1unique | 1count | 135479sum
135480: 4unique | 6count | 1143sum
135481: 2unique | 2count | 2282sum
135485: 3unique | 5count | 105sum
135486: 4unique | 6count | 217sum
135487: 3unique | 3count | 233sum
135491: 2unique | 2count | 1020sum
135492: 4unique | 5count | 1627sum
135493: 3unique | 3count | 203sum
135497: 1unique | 1count | 135497sum
135498: 4unique | 4count | 2069sum
135499: 3unique | 3count | 1509sum
135503: 2unique | 2count | 936sum
135504: 3unique | 7count | 955sum
135505: 3unique | 3count | 707sum
135509: 3unique | 3count | 235sum
135510: 4unique | 4count | 4527sum
135511: 1unique | 1count | 135511sum
135515: 2unique | 2count | 27108sum
135516: 4unique | 5count | 521sum
135517: 2unique | 2count | 4702sum
135521: 2unique | 2count | 2610sum
