95003: 1unique | 1count | 95003sum
95004: 5unique | 7count | 59sum
95005: 2unique | 2count | 19006sum
95009: 1unique | 1count | 95009sum
95010: 4unique | 4count | 3177sum
95011: 2unique | 4count | 298sum
95015: 3unique | 3count | 649sum
95016: 4unique | 6count | 153sum
95017: 2unique | 2count | 7322sum
95021: 1unique | 1count | 95021sum
95022: 3unique | 4count | 5287sum
95023: 2unique | 2count | 736sum
95027: 1unique | 1count | 95027sum
95028: 3unique | 4count | 7926sum
95029: 3unique | 3count | 227sum
95033: 2unique | 3count | 171sum
95034: 4unique | 4count | 389sum
95035: 3unique | 3count | 317sum
95039: 2unique | 2count | 13584sum
95040: 4unique | 11count | 37sum
95041: 2unique | 2count | 1042sum
95045: 2unique | 2count | 19014sum
95046: 5unique | 5count | 116sum
95047: 2unique | 2count | 5608sum
95051: 2unique | 2count | 8652sum
95052: 3unique | 5count | 185sum
95053: 3unique | 3count | 411sum
95057: 2unique | 2count | 5022sum
95058: 3unique | 4count | 5289sum
95059: 2unique | 2count | 4156sum
95063: 1unique | 1count | 95063sum
95064: 4unique | 6count | 259sum
95065: 2unique | 2count | 19018sum
95069: 3unique | 3count | 187sum
95070: 4unique | 4count | 3179sum
95071: 1unique | 1count | 95071sum
95075: 2unique | 3count | 3813sum
95076: 4unique | 6count | 168sum
95077: 2unique | 2count | 3098sum
95081: 3unique | 4count | 88sum
95082: 5unique | 5count | 94sum
95083: 1unique | 1count | 95083sum
95087: 1unique | 1count | 95087sum
95088: 4unique | 7count | 301sum
95089: 1unique | 1count | 95089sum
95093: 1unique | 1count | 95093sum
95094: 3unique | 6count | 601sum
95095: 5unique | 5count | 55sum
95099: 2unique | 2count | 1620sum
95100: 4unique | 6count | 334sum
95101: 1unique | 1count | 95101sum
95105: 3unique | 3count | 855sum
95106: 4unique | 5count | 158sum
95107: 1unique | 1count | 95107sum
95111: 1unique | 1count | 95111sum
95112: 3unique | 6count | 1333sum
95113: 2unique | 2count | 646sum
95117: 2unique | 2count | 8658sum
95118: 4unique | 4count | 279sum
95119: 2unique | 2count | 1376sum
95123: 3unique | 3count | 241sum
95124: 3unique | 4count | 7934sum
95125: 2unique | 4count | 776sum
95129: 2unique | 2count | 630sum
95130: 5unique | 6count | 171sum
95131: 1unique | 1count | 95131sum
95135: 3unique | 3count | 417sum
95136: 3unique | 7count | 1004sum
95137: 2unique | 2count | 13598sum
95141: 2unique | 2count | 1158sum
95142: 4unique | 4count | 263sum
95143: 1unique | 1count | 95143sum
95147: 2unique | 3count | 589sum
95148: 3unique | 6count | 894sum
95149: 3unique | 3count | 239sum
95153: 1unique | 1count | 95153sum
95154: 3unique | 3count | 15864sum
95155: 2unique | 2count | 19036sum
95159: 2unique | 2count | 2256sum
95160: 5unique | 7count | 88sum
95161: 3unique | 3count | 263sum
95165: 3unique | 3count | 2731sum
95166: 4unique | 5count | 336sum
95167: 2unique | 2count | 1672sum
95171: 2unique | 2count | 5028sum
95172: 5unique | 6count | 128sum
95173: 2unique | 2count | 7334sum
95177: 1unique | 1count | 95177sum
95178: 4unique | 4count | 581sum
95179: 2unique | 2count | 13604sum
95183: 3unique | 3count | 537sum
95184: 3unique | 7count | 675sum
95185: 2unique | 2count | 19042sum
95189: 1unique | 1count | 95189sum
95190: 5unique | 5count | 196sum
95191: 1unique | 1count | 95191sum
95195: 3unique | 3count | 325sum
95196: 3unique | 4count | 7940sum
95197: 2unique | 2count | 4162sum
95201: 3unique | 3count | 151sum
95202: 4unique | 6count | 95sum
95203: 1unique | 1count | 95203sum
95207: 3unique | 4count | 110sum
95208: 3unique | 5count | 3976sum
95209: 2unique | 2count | 5030sum
95213: 1unique | 1count | 95213sum
95214: 4unique | 4count | 2279sum
95215: 3unique | 3count | 281sum
95219: 1unique | 1count | 95219sum
95220: 4unique | 7count | 61sum
95221: 3unique | 3count | 291sum
95225: 3unique | 4count | 316sum
95226: 4unique | 4count | 333sum
95227: 2unique | 3count | 809sum
95231: 1unique | 1count | 95231sum
95232: 3unique | 12count | 54sum
95233: 1unique | 1count | 95233sum
95237: 2unique | 2count | 858sum
95238: 5unique | 6count | 69sum
95239: 1unique | 1count | 95239sum
95243: 3unique | 3count | 165sum
95244: 3unique | 4count | 7944sum
95245: 3unique | 3count | 491sum
95249: 3unique | 3count | 1255sum
95250: 4unique | 6count | 147sum
95251: 3unique | 3count | 461sum
95255: 2unique | 2count | 19056sum
95256: 3unique | 10count | 35sum
95257: 1unique | 1count | 95257sum
95261: 1unique | 1count | 95261sum
95262: 3unique | 3count | 15882sum
95263: 3unique | 3count | 477sum
95267: 1unique | 1count | 95267sum
95268: 4unique | 5count | 491sum
95269: 2unique | 2count | 2074sum
95273: 1unique | 1count | 95273sum
95274: 4unique | 5count | 154sum
95275: 3unique | 4count | 150sum
95279: 1unique | 1count | 95279sum
95280: 4unique | 7count | 413sum
95281: 2unique | 2count | 782sum
95285: 4unique | 4count | 100sum
95286: 3unique | 3count | 15886sum
95287: 1unique | 1count | 95287sum
95291: 2unique | 2count | 13620sum
95292: 3unique | 5count | 2657sum
95293: 2unique | 2count | 8674sum
95297: 2unique | 2count | 642sum
95298: 4unique | 4count | 2281sum
95299: 2unique | 2count | 764sum
95303: 2unique | 2count | 7344sum
95304: 4unique | 7count | 58sum
95305: 3unique | 4count | 408sum
95309: 2unique | 2count | 690sum
95310: 4unique | 6count | 369sum
95311: 1unique | 1count | 95311sum
95315: 3unique | 3count | 1749sum
95316: 4unique | 6count | 80sum
95317: 1unique | 1count | 95317sum
95321: 2unique | 2count | 678sum
95322: 3unique | 3count | 15892sum
95323: 3unique | 3count | 221sum
95327: 1unique | 1count | 95327sum
95328: 3unique | 8count | 347sum
95329: 2unique | 2count | 7346sum
95333: 2unique | 2count | 13626sum
95334: 3unique | 3count | 15894sum
95335: 3unique | 3count | 857sum
95339: 1unique | 1count | 95339sum
95340: 5unique | 6count | 246sum
95341: 2unique | 2count | 1490sum
95345: 2unique | 2count | 19074sum
95346: 3unique | 4count | 5305sum
95347: 3unique | 3count | 317sum
95351: 2unique | 2count | 1080sum
95352: 4unique | 6count | 175sum
95353: 3unique | 3count | 167sum
95357: 2unique | 2count | 738sum
95358: 4unique | 4count | 719sum
95359: 2unique | 2count | 8680sum
95363: 2unique | 2count | 2076sum
95364: 3unique | 6count | 896sum
95365: 2unique | 2count | 19078sum
95369: 1unique | 1count | 95369sum
95370: 5unique | 6count | 55sum
95371: 2unique | 2count | 620sum
95375: 3unique | 5count | 131sum
95376: 3unique | 6count | 1998sum
95377: 2unique | 2count | 878sum
95381: 4unique | 4count | 76sum
95382: 4unique | 5count | 772sum
95383: 1unique | 1count | 95383sum
95387: 3unique | 3count | 229sum
95388: 3unique | 4count | 7956sum
95389: 2unique | 2count | 13634sum
95393: 1unique | 1count | 95393sum
95394: 4unique | 4count | 1241sum
95395: 2unique | 2count | 19084sum
95399: 2unique | 2count | 5040sum
95400: 4unique | 8count | 75sum
95401: 1unique | 1count | 95401sum
95405: 2unique | 2count | 19086sum
95406: 3unique | 3count | 15906sum
95407: 3unique | 3count | 233sum
95411: 2unique | 2count | 1380sum
95412: 3unique | 4count | 7958sum
95413: 1unique | 1count | 95413sum
95417: 3unique | 3count | 367sum
95418: 4unique | 7count | 64sum
95419: 1unique | 1count | 95419sum
95423: 2unique | 2count | 2616sum
95424: 4unique | 9count | 93sum
95425: 3unique | 4count | 368sum
95429: 1unique | 1count | 95429sum
95430: 4unique | 4count | 3191sum
95431: 2unique | 2count | 13640sum
95435: 2unique | 2count | 19092sum
95436: 4unique | 6count | 262sum
95437: 2unique | 2count | 5042sum
95441: 1unique | 1count | 95441sum
95442: 3unique | 3count | 15912sum
95443: 1unique | 1count | 95443sum
95447: 2unique | 2count | 8688sum
95448: 4unique | 6count | 147sum
95449: 2unique | 2count | 3110sum
95453: 2unique | 2count | 1854sum
95454: 3unique | 4count | 5311sum
95455: 3unique | 3count | 1145sum
95459: 3unique | 3count | 1069sum
95460: 5unique | 6count | 92sum
95461: 1unique | 1count | 95461sum
95465: 3unique | 3count | 379sum
95466: 4unique | 4count | 2285sum
95467: 1unique | 1count | 95467sum
95471: 1unique | 1count | 95471sum
95472: 4unique | 9count | 47sum
95473: 3unique | 3count | 623sum
95477: 2unique | 2count | 618sum
95478: 3unique | 3count | 15918sum
95479: 1unique | 1count | 95479sum
95483: 1unique | 1count | 95483sum
95484: 4unique | 5count | 189sum
95485: 3unique | 4count | 144sum
95489: 3unique | 3count | 195sum
95490: 4unique | 5count | 1074sum
95491: 2unique | 2count | 8692sum
95495: 3unique | 3count | 345sum
95496: 4unique | 6count | 205sum
95497: 3unique | 3count | 155sum
95501: 2unique | 3count | 1963sum
95502: 4unique | 4count | 1463sum
95503: 2unique | 2count | 2264sum
95507: 1unique | 1count | 95507sum
95508: 4unique | 6count | 396sum
95509: 2unique | 2count | 790sum
95513: 3unique | 3count | 487sum
95514: 3unique | 3count | 15924sum
95515: 3unique | 3count | 2741sum
95519: 2unique | 2count | 4176sum
95520: 4unique | 8count | 217sum
95521: 2unique | 2count | 1678sum
95525: 2unique | 3count | 3831sum
95526: 4unique | 6count | 101sum
95527: 1unique | 1count | 95527sum
95531: 1unique | 1count | 95531sum
95532: 4unique | 5count | 445sum
95533: 2unique | 2count | 1234sum
95537: 2unique | 2count | 7362sum
95538: 3unique | 3count | 15928sum
95539: 1unique | 1count | 95539sum
95543: 2unique | 2count | 13656sum
95544: 3unique | 6count | 1339sum
95545: 3unique | 3count | 299sum
95549: 1unique | 1count | 95549sum
95550: 5unique | 7count | 42sum
95551: 3unique | 3count | 173sum
95555: 3unique | 3count | 693sum
95556: 3unique | 4count | 7970sum
95557: 4unique | 4count | 108sum
95561: 1unique | 1count | 95561sum
95562: 3unique | 4count | 5317sum
95563: 2unique | 2count | 7364sum
95567: 2unique | 2count | 648sum
95568: 4unique | 7count | 203sum
95569: 1unique | 1count | 95569sum
95573: 2unique | 2count | 3114sum
95574: 4unique | 4count | 959sum
