120005: 2unique | 2count | 24006sum
120006: 4unique | 5count | 180sum
120007: 2unique | 2count | 2968sum
120011: 1unique | 1count | 120011sum
120012: 4unique | 5count | 217sum
120013: 2unique | 2count | 2834sum
120017: 1unique | 1count | 120017sum
120018: 4unique | 4count | 329sum
120019: 2unique | 2count | 724sum
120023: 2unique | 2count | 6336sum
120024: 3unique | 6count | 1679sum
120025: 2unique | 3count | 4811sum
120029: 3unique | 3count | 1339sum
120030: 4unique | 4count | 4011sum
120031: 2unique | 2count | 4168sum
120035: 2unique | 2count | 24012sum
120036: 4unique | 5count | 1443sum
120037: 3unique | 3count | 347sum
120041: 1unique | 1count | 120041sum
120042: 4unique | 8count | 49sum
120043: 3unique | 3count | 1577sum
120047: 1unique | 1count | 120047sum
120048: 4unique | 7count | 113sum
120049: 1unique | 1count | 120049sum
120053: 2unique | 2count | 714sum
120054: 5unique | 5count | 140sum
120055: 3unique | 3count | 1865sum
120059: 2unique | 2count | 780sum
120060: 5unique | 7count | 67sum
120061: 3unique | 3count | 179sum
120065: 4unique | 4count | 112sum
120066: 3unique | 3count | 20016sum
120067: 1unique | 1count | 120067sum
120071: 3unique | 3count | 1033sum
120072: 3unique | 5count | 5012sum
120073: 2unique | 2count | 886sum
120077: 1unique | 1count | 120077sum
120078: 4unique | 5count | 968sum
120079: 1unique | 1count | 120079sum
120083: 2unique | 3count | 273sum
120084: 3unique | 4count | 10014sum
120085: 4unique | 4count | 132sum
120089: 3unique | 3count | 171sum
120090: 4unique | 4count | 4013sum
120091: 1unique | 1count | 120091sum
120095: 2unique | 2count | 24024sum
120096: 3unique | 9count | 158sum
120097: 1unique | 1count | 120097sum
120101: 2unique | 2count | 1530sum
120102: 4unique | 4count | 583sum
120103: 1unique | 1count | 120103sum
120107: 2unique | 2count | 9252sum
120108: 3unique | 4count | 10016sum
120109: 3unique | 3count | 251sum
120113: 2unique | 2count | 17166sum
120114: 3unique | 4count | 6681sum
120115: 2unique | 2count | 24028sum
120119: 2unique | 2count | 1176sum
120120: 6unique | 8count | 45sum
120121: 1unique | 1count | 120121sum
120125: 2unique | 5count | 77sum
120126: 3unique | 3count | 20026sum
120127: 2unique | 3count | 269sum
120131: 3unique | 3count | 241sum
120132: 4unique | 6count | 128sum
120133: 2unique | 2count | 9254sum
120137: 2unique | 2count | 6342sum
120138: 3unique | 3count | 20028sum
120139: 3unique | 3count | 245sum
120143: 2unique | 2count | 696sum
120144: 3unique | 6count | 2514sum
120145: 2unique | 2count | 24034sum
120149: 2unique | 2count | 1014sum
120150: 4unique | 7count | 110sum
120151: 2unique | 2count | 2320sum
120155: 3unique | 3count | 3445sum
120156: 5unique | 6count | 74sum
120157: 1unique | 1count | 120157sum
120161: 2unique | 2count | 1230sum
120162: 4unique | 4count | 2873sum
120163: 1unique | 1count | 120163sum
120167: 1unique | 1count | 120167sum
120168: 3unique | 6count | 1681sum
120169: 2unique | 2count | 17174sum
120173: 2unique | 2count | 7086sum
120174: 3unique | 3count | 20034sum
120175: 4unique | 5count | 63sum
120179: 2unique | 2count | 2604sum
120180: 4unique | 5count | 2015sum
120181: 1unique | 1count | 120181sum
120185: 3unique | 4count | 104sum
120186: 4unique | 5count | 626sum
120187: 2unique | 2count | 3908sum
120191: 2unique | 2count | 720sum
120192: 3unique | 9count | 330sum
120193: 1unique | 1count | 120193sum
120197: 3unique | 4count | 248sum
120198: 5unique | 5count | 108sum
120199: 1unique | 1count | 120199sum
120203: 2unique | 2count | 1764sum
120204: 4unique | 8count | 76sum
120205: 3unique | 3count | 863sum
120209: 1unique | 1count | 120209sum
120210: 4unique | 4count | 4017sum
120211: 3unique | 3count | 1341sum
120215: 2unique | 2count | 24048sum
120216: 3unique | 5count | 5018sum
120217: 2unique | 2count | 742sum
120221: 2unique | 2count | 5250sum
120222: 3unique | 4count | 6687sum
120223: 1unique | 1count | 120223sum
120227: 2unique | 2count | 1212sum
120228: 4unique | 5count | 283sum
120229: 2unique | 2count | 730sum
120233: 1unique | 1count | 120233sum
120234: 4unique | 4count | 725sum
120235: 3unique | 3count | 317sum
120239: 3unique | 3count | 289sum
120240: 4unique | 8count | 186sum
120241: 3unique | 3count | 671sum
120245: 2unique | 2count | 24054sum
120246: 4unique | 5count | 428sum
120247: 1unique | 1count | 120247sum
120251: 2unique | 2count | 6348sum
120252: 4unique | 5count | 929sum
120253: 3unique | 3count | 467sum
120257: 2unique | 2count | 2322sum
120258: 4unique | 6count | 159sum
120259: 2unique | 2count | 740sum
120263: 3unique | 4count | 82sum
120264: 3unique | 5count | 5020sum
120265: 3unique | 3count | 431sum
120269: 2unique | 2count | 1074sum
120270: 5unique | 5count | 240sum
120271: 2unique | 2count | 2840sum
120275: 3unique | 4count | 310sum
120276: 4unique | 6count | 280sum
120277: 1unique | 1count | 120277sum
120281: 2unique | 2count | 17190sum
120282: 3unique | 3count | 20052sum
120283: 1unique | 1count | 120283sum
120287: 2unique | 2count | 3288sum
120288: 4unique | 8count | 199sum
120289: 3unique | 3count | 519sum
120293: 1unique | 1count | 120293sum
120294: 4unique | 5count | 212sum
120295: 3unique | 4count | 510sum
120299: 1unique | 1count | 120299sum
120300: 4unique | 6count | 418sum
120301: 2unique | 2count | 2098sum
120305: 2unique | 2count | 24066sum
120306: 3unique | 3count | 20056sum
120307: 2unique | 2count | 10948sum
120311: 2unique | 2count | 3912sum
120312: 3unique | 7count | 572sum
120313: 2unique | 2count | 5254sum
120317: 2unique | 2count | 1602sum
120318: 4unique | 4count | 1839sum
120319: 1unique | 1count | 120319sum
120323: 2unique | 2count | 17196sum
120324: 4unique | 5count | 315sum
120325: 2unique | 3count | 4823sum
120329: 2unique | 2count | 10950sum
120330: 5unique | 6count | 211sum
120331: 1unique | 1count | 120331sum
120335: 3unique | 3count | 633sum
120336: 4unique | 7count | 143sum
120337: 2unique | 2count | 17198sum
120341: 2unique | 2count | 9270sum
120342: 4unique | 4count | 683sum
120343: 2unique | 2count | 7096sum
120347: 2unique | 2count | 948sum
120348: 3unique | 5count | 3353sum
120349: 1unique | 1count | 120349sum
120353: 2unique | 2count | 2034sum
120354: 4unique | 4count | 1561sum
120355: 2unique | 2count | 24076sum
120359: 2unique | 2count | 5256sum
120360: 5unique | 7count | 90sum
120361: 2unique | 2count | 3290sum
120365: 4unique | 4count | 212sum
120366: 3unique | 6count | 757sum
120367: 3unique | 3count | 257sum
120371: 1unique | 1count | 120371sum
120372: 4unique | 5count | 1447sum
120373: 3unique | 3count | 395sum
120377: 3unique | 3count | 187sum
120378: 3unique | 3count | 20068sum
120379: 3unique | 3count | 629sum
120383: 1unique | 1count | 120383sum
120384: 4unique | 10count | 48sum
120385: 2unique | 2count | 24082sum
120389: 2unique | 2count | 1050sum
120390: 4unique | 4count | 4023sum
120391: 1unique | 1count | 120391sum
120395: 3unique | 4count | 226sum
120396: 4unique | 5count | 213sum
120397: 1unique | 1count | 120397sum
120401: 1unique | 1count | 120401sum
120402: 3unique | 4count | 6697sum
120403: 2unique | 2count | 6356sum
120407: 3unique | 3count | 277sum
120408: 4unique | 6count | 211sum
120409: 1unique | 2count | 694sum
120413: 1unique | 1count | 120413sum
120414: 5unique | 5count | 120sum
120415: 2unique | 2count | 24088sum
120419: 3unique | 3count | 229sum
120420: 4unique | 7count | 241sum
120421: 2unique | 2count | 17210sum
120425: 2unique | 3count | 4827sum
120426: 3unique | 3count | 20076sum
120427: 1unique | 1count | 120427sum
120431: 1unique | 1count | 120431sum
120432: 4unique | 7count | 217sum
120433: 2unique | 2count | 1534sum
120437: 2unique | 2count | 4182sum
120438: 3unique | 4count | 6699sum
120439: 2unique | 2count | 10960sum
120443: 2unique | 2count | 2844sum
120444: 3unique | 4count | 10044sum
120445: 4unique | 4count | 144sum
120449: 2unique | 2count | 17214sum
120450: 5unique | 6count | 99sum
120451: 2unique | 2count | 5260sum
120455: 2unique | 2count | 24096sum
120456: 4unique | 7count | 258sum
120457: 2unique | 2count | 902sum
