2002: 4uniques | 4count | 33sum
2003: 1uniques | 1count | 0sum
2004: 3uniques | 4count | 174sum
2005: 2uniques | 2count | 406sum
2006: 3uniques | 3count | 78sum
2007: 2uniques | 3count | 229sum
2008: 2uniques | 4count | 257sum
2009: 2uniques | 3count | 55sum
2010: 4uniques | 4count | 77sum
2011: 1uniques | 1count | 0sum
2012: 2uniques | 3count | 507sum
2013: 3uniques | 3count | 75sum
2014: 3uniques | 3count | 74sum
2015: 3uniques | 3count | 49sum
2016: 3uniques | 8count | 23sum
2017: 1uniques | 1count | 0sum
2018: 2uniques | 2count | 1011sum
2019: 2uniques | 2count | 676sum
2020: 3uniques | 4count | 110sum
2021: 2uniques | 2count | 90sum
2022: 3uniques | 3count | 342sum
2023: 2uniques | 3count | 41sum
2024: 3uniques | 5count | 40sum
2025: 2uniques | 6count | 22sum
2026: 2uniques | 2count | 1015sum
2027: 1uniques | 1count | 0sum
2028: 3uniques | 5count | 33sum
2029: 1uniques | 1count | 0sum
2030: 4uniques | 4count | 43sum
2031: 2uniques | 2count | 680sum
2032: 2uniques | 5count | 135sum
2033: 2uniques | 2count | 126sum
2034: 3uniques | 4count | 121sum
2035: 3uniques | 3count | 53sum
2036: 2uniques | 3count | 513sum
2037: 3uniques | 3count | 107sum
2038: 2uniques | 2count | 1021sum
2039: 1uniques | 1count | 0sum
2040: 4uniques | 6count | 31sum
2041: 2uniques | 2count | 170sum
2042: 2uniques | 2count | 1023sum
2043: 2uniques | 3count | 233sum
2044: 3uniques | 4count | 84sum
2045: 2uniques | 2count | 414sum
2046: 4uniques | 4count | 47sum
2047: 2uniques | 2count | 112sum
2048: 1uniques | 11count | 22sum
2049: 2uniques | 2count | 686sum
2050: 3uniques | 4count | 53sum
2051: 2uniques | 2count | 300sum
2052: 3uniques | 6count | 32sum
2053: 1uniques | 1count | 0sum
2054: 3uniques | 3count | 94sum
2055: 3uniques | 3count | 145sum
2056: 2uniques | 4count | 263sum
2057: 2uniques | 3count | 39sum
2058: 3uniques | 5count | 26sum
2059: 2uniques | 2count | 100sum
2060: 3uniques | 4count | 112sum
2061: 2uniques | 3count | 235sum
2062: 2uniques | 2count | 1033sum
2063: 1uniques | 1count | 0sum
2064: 3uniques | 6count | 54sum
2065: 3uniques | 3count | 71sum
2066: 2uniques | 2count | 1035sum
2067: 3uniques | 3count | 69sum
2068: 3uniques | 4count | 62sum
2069: 1uniques | 1count | 0sum
2070: 4uniques | 5count | 36sum
2071: 2uniques | 2count | 128sum
2072: 3uniques | 5count | 50sum
2073: 2uniques | 2count | 694sum
2074: 3uniques | 3count | 80sum
2075: 2uniques | 3count | 93sum
2076: 3uniques | 4count | 180sum
2077: 2uniques | 2count | 98sum
2078: 2uniques | 2count | 1041sum
2079: 3uniques | 5count | 27sum
2080: 3uniques | 7count | 28sum
2081: 1uniques | 1count | 0sum
2082: 3uniques | 3count | 352sum
2083: 1uniques | 1count | 0sum
2084: 2uniques | 3count | 525sum
2085: 3uniques | 3count | 147sum
2086: 3uniques | 3count | 158sum
2087: 1uniques | 1count | 0sum
2088: 3uniques | 6count | 41sum
2089: 1uniques | 1count | 0sum
2090: 4uniques | 4count | 37sum
2091: 3uniques | 3count | 61sum
2092: 2uniques | 3count | 527sum
2093: 3uniques | 3count | 43sum
2094: 3uniques | 3count | 354sum
2095: 2uniques | 2count | 424sum
2096: 2uniques | 5count | 139sum
2097: 2uniques | 3count | 239sum
2098: 2uniques | 2count | 1051sum
2099: 1uniques | 1count | 0sum
2100: 4uniques | 6count | 24sum
2101: 2uniques | 2count | 202sum
2102: 2uniques | 2count | 1053sum
2103: 2uniques | 2count | 704sum
2104: 2uniques | 4count | 269sum
2105: 2uniques | 2count | 426sum
2106: 3uniques | 6count | 27sum
2107: 2uniques | 3count | 57sum
2108: 3uniques | 4count | 52sum
2109: 3uniques | 3count | 59sum
2110: 3uniques | 3count | 218sum
2111: 1uniques | 1count | 0sum
2112: 3uniques | 8count | 26sum
2113: 1uniques | 1count | 0sum
2114: 3uniques | 3count | 160sum
2115: 3uniques | 4count | 58sum
2116: 2uniques | 4count | 50sum
2117: 2uniques | 2count | 102sum
2118: 3uniques | 3count | 358sum
2119: 2uniques | 2count | 176sum
2120: 3uniques | 5count | 64sum
2121: 3uniques | 3count | 111sum
2122: 2uniques | 2count | 1063sum
2123: 2uniques | 2count | 204sum
2124: 3uniques | 5count | 69sum
2125: 2uniques | 4count | 32sum
2126: 2uniques | 2count | 1065sum
2127: 2uniques | 2count | 712sum
2128: 3uniques | 6count | 34sum
2129: 1uniques | 1count | 0sum
2130: 4uniques | 4count | 81sum
2131: 1uniques | 1count | 0sum
2132: 3uniques | 4count | 58sum
2133: 2uniques | 4count | 88sum
2134: 3uniques | 3count | 110sum
2135: 3uniques | 3count | 73sum
2136: 3uniques | 5count | 98sum
2137: 1uniques | 1count | 0sum
2138: 2uniques | 2count | 1071sum
2139: 3uniques | 3count | 57sum
2140: 3uniques | 4count | 116sum
2141: 1uniques | 1count | 0sum
2142: 4uniques | 5count | 32sum
2143: 1uniques | 1count | 0sum
2144: 2uniques | 6count | 77sum
2145: 4uniques | 4count | 32sum
2146: 3uniques | 3count | 68sum
2147: 2uniques | 2count | 132sum
2148: 3uniques | 4count | 186sum
2149: 2uniques | 2count | 314sum
2150: 3uniques | 4count | 55sum
2151: 2uniques | 3count | 245sum
2152: 2uniques | 4count | 275sum
2153: 1uniques | 1count | 0sum
2154: 3uniques | 3count | 364sum
2155: 2uniques | 2count | 436sum
2156: 3uniques | 5count | 29sum
2157: 2uniques | 2count | 722sum
2158: 3uniques | 3count | 98sum
2159: 2uniques | 2count | 144sum
2160: 3uniques | 8count | 22sum
2161: 1uniques | 1count | 0sum
2162: 3uniques | 3count | 72sum
2163: 3uniques | 3count | 113sum
