48001: 2unique | 2count | 2110sum
48005: 2unique | 2count | 9606sum
48006: 4unique | 6count | 145sum
48007: 2unique | 2count | 848sum
48011: 2unique | 2count | 1212sum
48012: 3unique | 4count | 4008sum
48013: 2unique | 4count | 64sum
48017: 1unique | 1count | 48017sum
48018: 4unique | 4count | 209sum
48019: 2unique | 2count | 1580sum
48023: 1unique | 1count | 48023sum
48024: 4unique | 7count | 64sum
48025: 3unique | 4count | 140sum
48029: 1unique | 1count | 48029sum
48030: 4unique | 4count | 1611sum
48031: 2unique | 2count | 1160sum
48035: 3unique | 3count | 757sum
48036: 3unique | 4count | 4010sum
48037: 2unique | 3count | 419sum
48041: 2unique | 2count | 6870sum
48042: 4unique | 5count | 182sum
48043: 2unique | 2count | 556sum
48047: 2unique | 2count | 2112sum
48048: 5unique | 8count | 42sum
48049: 1unique | 1count | 48049sum
48053: 2unique | 2count | 1686sum
48054: 3unique | 3count | 8014sum
48055: 3unique | 3count | 1385sum
48059: 3unique | 3count | 285sum
48060: 4unique | 7count | 107sum
48061: 2unique | 2count | 3710sum
48065: 2unique | 2count | 9618sum
48066: 3unique | 3count | 8016sum
48067: 2unique | 2count | 748sum
48071: 2unique | 2count | 960sum
48072: 3unique | 5count | 2012sum
48073: 1unique | 1count | 48073sum
48077: 2unique | 2count | 498sum
48078: 3unique | 4count | 2679sum
48079: 1unique | 1count | 48079sum
48083: 2unique | 2count | 6876sum
48084: 3unique | 4count | 4014sum
48085: 3unique | 3count | 227sum
48089: 2unique | 2count | 2550sum
48090: 5unique | 5count | 246sum
48091: 1unique | 1count | 48091sum
48095: 2unique | 2count | 9624sum
48096: 3unique | 8count | 183sum
48097: 2unique | 2count | 6878sum
48101: 2unique | 2count | 570sum
48102: 3unique | 3count | 8022sum
48103: 2unique | 2count | 4384sum
48107: 2unique | 2count | 732sum
48108: 4unique | 5count | 237sum
48109: 1unique | 1count | 48109sum
48113: 2unique | 2count | 3714sum
48114: 3unique | 9count | 34sum
48115: 2unique | 2count | 9628sum
48119: 1unique | 1count | 48119sum
48120: 4unique | 6count | 415sum
48121: 1unique | 1count | 48121sum
48125: 3unique | 6count | 38sum
48126: 4unique | 4count | 635sum
48127: 3unique | 3count | 185sum
48131: 1unique | 1count | 48131sum
48132: 4unique | 6count | 208sum
48133: 2unique | 2count | 506sum
48137: 2unique | 2count | 1338sum
48138: 4unique | 4count | 189sum
48139: 3unique | 4count | 66sum
48143: 2unique | 2count | 1584sum
48144: 4unique | 7count | 87sum
48145: 2unique | 2count | 9634sum
48149: 2unique | 2count | 630sum
48150: 4unique | 6count | 125sum
48151: 2unique | 2count | 448sum
48155: 2unique | 2count | 9636sum
48156: 3unique | 4count | 4020sum
48157: 1unique | 1count | 48157sum
48161: 2unique | 2count | 2850sum
48162: 4unique | 4count | 377sum
48163: 1unique | 1count | 48163sum
48167: 2unique | 3count | 997sum
48168: 3unique | 7count | 238sum
48169: 3unique | 3count | 191sum
48173: 2unique | 2count | 786sum
48174: 5unique | 5count | 80sum
48175: 3unique | 4count | 98sum
48179: 1unique | 1count | 48179sum
48180: 5unique | 6count | 96sum
48181: 2unique | 2count | 6890sum
48185: 3unique | 3count | 447sum
48186: 3unique | 4count | 2685sum
48187: 1unique | 1count | 48187sum
48191: 3unique | 3count | 361sum
48192: 3unique | 8count | 266sum
48193: 1unique | 1count | 48193sum
48197: 1unique | 1count | 48197sum
48198: 4unique | 4count | 311sum
48199: 2unique | 2count | 464sum
48203: 3unique | 3count | 121sum
48204: 4unique | 6count | 126sum
48205: 3unique | 3count | 347sum
48209: 3unique | 3count | 175sum
48210: 4unique | 4count | 1617sum
48211: 2unique | 2count | 1340sum
48215: 2unique | 2count | 9648sum
48216: 4unique | 7count | 64sum
48217: 2unique | 2count | 3722sum
48221: 1unique | 1count | 48221sum
48222: 4unique | 6count | 77sum
48223: 2unique | 3count | 173sum
48227: 2unique | 2count | 1692sum
48228: 3unique | 4count | 4026sum
48229: 2unique | 2count | 2854sum
48233: 2unique | 2count | 486sum
48234: 3unique | 3count | 8044sum
48235: 3unique | 3count | 893sum
48239: 1unique | 1count | 48239sum
48240: 4unique | 8count | 86sum
48241: 2unique | 2count | 2558sum
48245: 2unique | 2count | 9654sum
48246: 5unique | 5count | 76sum
48247: 1unique | 1count | 48247sum
48251: 3unique | 3count | 181sum
48252: 3unique | 4count | 4028sum
48253: 2unique | 2count | 734sum
48257: 3unique | 3count | 159sum
48258: 4unique | 5count | 398sum
48259: 1unique | 1count | 48259sum
48263: 2unique | 3count | 201sum
48264: 3unique | 5count | 2020sum
48265: 3unique | 4count | 216sum
48269: 3unique | 3count | 139sum
48270: 4unique | 4count | 1619sum
48271: 1unique | 1count | 48271sum
48275: 2unique | 3count | 1941sum
48276: 3unique | 7count | 165sum
48277: 2unique | 2count | 2122sum
48281: 1unique | 1count | 48281sum
48282: 4unique | 4count | 637sum
48283: 2unique | 2count | 964sum
48287: 2unique | 2count | 552sum
48288: 3unique | 7count | 516sum
48289: 2unique | 2count | 1166sum
48293: 2unique | 2count | 6906sum
48294: 3unique | 4count | 2691sum
48295: 3unique | 3count | 761sum
48299: 1unique | 1count | 48299sum
48300: 5unique | 7count | 47sum
48301: 2unique | 2count | 4402sum
48305: 2unique | 2count | 9666sum
48306: 4unique | 4count | 185sum
48307: 3unique | 3count | 177sum
48311: 1unique | 1count | 48311sum
48312: 4unique | 7count | 84sum
48313: 1unique | 1count | 48313sum
48317: 2unique | 2count | 2562sum
48318: 3unique | 3count | 8058sum
48319: 2unique | 2count | 440sum
48323: 3unique | 3count | 225sum
48324: 3unique | 4count | 4034sum
48325: 2unique | 3count | 1943sum
48329: 2unique | 2count | 1590sum
48330: 4unique | 6count | 195sum
48331: 2unique | 2count | 2860sum
48335: 3unique | 3count | 1393sum
48336: 4unique | 7count | 83sum
