18176: 2uniques | 9count | 87sum
18177: 3uniques | 3count | 159sum
18178: 3uniques | 3count | 212sum
18179: 2uniques | 4count | 74sum
18180: 4uniques | 6count | 116sum
18181: 1uniques | 1count | 0sum
18182: 2uniques | 2count | 9093sum
18183: 4uniques | 4count | 62sum
18184: 2uniques | 4count | 2279sum
18185: 2uniques | 2count | 3642sum
18186: 4uniques | 4count | 445sum
18187: 2uniques | 2count | 1412sum
18188: 2uniques | 3count | 4551sum
18189: 3uniques | 4count | 96sum
18190: 4uniques | 4count | 131sum
18191: 1uniques | 1count | 0sum
18192: 3uniques | 6count | 390sum
18193: 3uniques | 3count | 143sum
18194: 3uniques | 3count | 840sum
18195: 3uniques | 3count | 1221sum
18196: 2uniques | 3count | 4553sum
18197: 2uniques | 2count | 618sum
18198: 3uniques | 5count | 348sum
18199: 1uniques | 1count | 0sum
18200: 4uniques | 7count | 36sum
18201: 2uniques | 2count | 6070sum
18202: 3uniques | 3count | 500sum
18203: 2uniques | 2count | 276sum
18204: 4uniques | 5count | 85sum
18205: 3uniques | 3count | 347sum
18206: 2uniques | 2count | 9105sum
18207: 3uniques | 5count | 47sum
18208: 2uniques | 6count | 579sum
18209: 2uniques | 2count | 270sum
18210: 4uniques | 4count | 617sum
18211: 1uniques | 1count | 0sum
18212: 3uniques | 4count | 190sum
18213: 3uniques | 3count | 483sum
18214: 3uniques | 3count | 1310sum
18215: 2uniques | 2count | 3648sum
18216: 4uniques | 7count | 46sum
18217: 1uniques | 1count | 0sum
18218: 2uniques | 2count | 9111sum
18219: 2uniques | 2count | 6076sum
18220: 3uniques | 4count | 920sum
18221: 3uniques | 3count | 163sum
18222: 3uniques | 3count | 3042sum
18223: 1uniques | 1count | 0sum
18224: 3uniques | 6count | 92sum
18225: 2uniques | 8count | 28sum
18226: 3uniques | 3count | 716sum
18227: 2uniques | 2count | 1668sum
18228: 4uniques | 6count | 52sum
18229: 1uniques | 1count | 0sum
18230: 3uniques | 3count | 1830sum
18231: 3uniques | 3count | 165sum
18232: 3uniques | 5count | 102sum
18233: 1uniques | 1count | 0sum
18234: 3uniques | 4count | 1021sum
18235: 3uniques | 3count | 533sum
18236: 3uniques | 4count | 148sum
18237: 2uniques | 2count | 6082sum
18238: 3uniques | 3count | 842sum
18239: 3uniques | 3count | 97sum
18240: 4uniques | 9count | 39sum
18241: 3uniques | 3count | 83sum
18242: 3uniques | 3count | 1312sum
18243: 2uniques | 3count | 2033sum
18244: 2uniques | 3count | 4565sum
18245: 3uniques | 3count | 135sum
18246: 3uniques | 3count | 3046sum
18247: 2uniques | 2count | 328sum
18248: 2uniques | 4count | 2287sum
18249: 4uniques | 4count | 100sum
18250: 3uniques | 5count | 90sum
18251: 1uniques | 1count | 0sum
18252: 3uniques | 7count | 39sum
18253: 1uniques | 1count | 0sum
18254: 2uniques | 2count | 9129sum
18255: 3uniques | 3count | 1225sum
18256: 3uniques | 6count | 178sum
18257: 1uniques | 1count | 0sum
18258: 4uniques | 4count | 201sum
18259: 2uniques | 3count | 81sum
18260: 4uniques | 5count | 103sum
18261: 2uniques | 3count | 2035sum
18262: 3uniques | 3count | 422sum
18263: 2uniques | 2count | 2616sum
18264: 3uniques | 5count | 770sum
18265: 3uniques | 3count | 299sum
18266: 2uniques | 2count | 9135sum
18267: 2uniques | 2count | 6092sum
18268: 2uniques | 3count | 4571sum
18269: 1uniques | 1count | 0sum
18270: 5uniques | 6count | 49sum
18271: 2uniques | 3count | 173sum
18272: 2uniques | 6count | 581sum
18273: 2uniques | 2count | 6094sum
18274: 2uniques | 2count | 9139sum
18275: 3uniques | 4count | 70sum
18276: 3uniques | 4count | 1530sum
18277: 2uniques | 3count | 387sum
18278: 4uniques | 4count | 71sum
18279: 2uniques | 4count | 686sum
18280: 3uniques | 5count | 468sum
18281: 2uniques | 2count | 282sum
18282: 4uniques | 4count | 293sum
18283: 2uniques | 2count | 436sum
18284: 3uniques | 4count | 664sum
18285: 4uniques | 4count | 84sum
18286: 3uniques | 3count | 266sum
18287: 1uniques | 1count | 0sum
18288: 3uniques | 7count | 141sum
18289: 1uniques | 1count | 0sum
18290: 4uniques | 4count | 97sum
18291: 4uniques | 4count | 90sum
18292: 3uniques | 4count | 290sum
18293: 2uniques | 2count | 1674sum
18294: 3uniques | 3count | 3054sum
18295: 2uniques | 2count | 3664sum
18296: 2uniques | 4count | 2293sum
18297: 3uniques | 4count | 132sum
18298: 3uniques | 3count | 1316sum
18299: 2uniques | 2count | 660sum
18300: 4uniques | 6count | 78sum
18301: 1uniques | 1count | 0sum
18302: 2uniques | 2count | 9153sum
18303: 2uniques | 2count | 6104sum
18304: 3uniques | 9count | 38sum
18305: 3uniques | 3count | 535sum
18306: 3uniques | 6count | 127sum
18307: 1uniques | 1count | 0sum
18308: 3uniques | 4count | 226sum
18309: 3uniques | 3count | 379sum
18310: 3uniques | 3count | 1838sum
18311: 1uniques | 1count | 0sum
18312: 4uniques | 6count | 125sum
18313: 1uniques | 1count | 0sum
18314: 2uniques | 2count | 9159sum
18315: 4uniques | 5count | 59sum
18316: 3uniques | 4count | 264sum
18317: 2uniques | 2count | 1422sum
18318: 4uniques | 4count | 119sum
18319: 2uniques | 2count | 2624sum
18320: 3uniques | 6count | 242sum
18321: 3uniques | 3count | 231sum
18322: 2uniques | 2count | 9163sum
18323: 2uniques | 2count | 324sum
18324: 3uniques | 5count | 519sum
18325: 2uniques | 3count | 743sum
18326: 4uniques | 5count | 44sum
18327: 3uniques | 3count | 193sum
18328: 3uniques | 5count | 114sum
18329: 1uniques | 1count | 0sum
18330: 5uniques | 5count | 70sum
18331: 2uniques | 2count | 820sum
18332: 2uniques | 3count | 4587sum
18333: 3uniques | 5count | 113sum
18334: 3uniques | 3count | 194sum
18335: 3uniques | 3count | 217sum
18336: 3uniques | 7count | 204sum
18337: 2uniques | 2count | 1678sum
18338: 3uniques | 3count | 228sum
18339: 2uniques | 2count | 6116sum
18340: 4uniques | 5count | 147sum
18341: 1uniques | 1count | 0sum
18342: 3uniques | 4count | 1027sum
18343: 3uniques | 3count | 113sum
18344: 2uniques | 4count | 2299sum
18345: 3uniques | 3count | 1231sum
18346: 2uniques | 2count | 9175sum
18347: 2uniques | 2count | 2628sum
18348: 4uniques | 5count | 157sum
18349: 2uniques | 2count | 370sum
18350: 3uniques | 4count | 379sum
18351: 2uniques | 3count | 2045sum
18352: 3uniques | 6count | 76sum
18353: 1uniques | 1count | 0sum
18354: 5uniques | 5count | 54sum
18355: 2uniques | 2count | 3676sum
18356: 3uniques | 4count | 370sum
18357: 3uniques | 3count | 243sum
18358: 3uniques | 3count | 206sum
18359: 2uniques | 2count | 1680sum
18360: 4uniques | 8count | 37sum
18361: 3uniques | 3count | 111sum
18362: 2uniques | 2count | 9183sum
18363: 2uniques | 2count | 6124sum
18364: 2uniques | 3count | 4595sum
18365: 2uniques | 2count | 3678sum
18366: 3uniques | 3count | 3066sum
18367: 1uniques | 1count | 0sum
18368: 3uniques | 8count | 60sum
18369: 3uniques | 4count | 176sum
18370: 4uniques | 4count | 185sum
18371: 1uniques | 1count | 0sum
18372: 3uniques | 4count | 1538sum
18373: 2uniques | 2count | 986sum
18374: 2uniques | 2count | 9189sum
18375: 3uniques | 6count | 32sum
18376: 2uniques | 4count | 2303sum
18377: 3uniques | 3count | 87sum
18378: 3uniques | 4count | 1029sum
18379: 1uniques | 1count | 0sum
18380: 3uniques | 4count | 928sum
18381: 3uniques | 3count | 571sum
18382: 4uniques | 4count | 123sum
18383: 2uniques | 2count | 624sum
18384: 3uniques | 6count | 394sum
18385: 2uniques | 2count | 3682sum
18386: 3uniques | 3count | 348sum
18387: 2uniques | 5count | 239sum
18388: 2uniques | 3count | 4601sum
18389: 3uniques | 3count | 115sum
18390: 4uniques | 4count | 623sum
18391: 2uniques | 2count | 400sum
18392: 3uniques | 6count | 47sum
18393: 2uniques | 2count | 6134sum
18394: 3uniques | 3count | 560sum
18395: 3uniques | 3count | 301sum
18396: 4uniques | 6count | 90sum
18397: 1uniques | 1count | 0sum
18398: 2uniques | 2count | 9201sum
18399: 2uniques | 2count | 6136sum
18400: 3uniques | 8count | 43sum
18401: 1uniques | 1count | 0sum
18402: 3uniques | 3count | 3072sum
18403: 3uniques | 3count | 257sum
18404: 3uniques | 4count | 154sum
18405: 3uniques | 4count | 420sum
18406: 2uniques | 2count | 9205sum
18407: 2uniques | 2count | 312sum
18408: 4uniques | 6count | 81sum
18409: 2uniques | 2count | 490sum
18410: 4uniques | 4count | 277sum
18411: 3uniques | 4count | 58sum
18412: 2uniques | 3count | 4607sum
18413: 1uniques | 1count | 0sum
18414: 4uniques | 6count | 53sum
18415: 3uniques | 3count | 161sum
18416: 2uniques | 5count | 1159sum
18417: 3uniques | 3count | 887sum
18418: 2uniques | 2count | 9211sum
18419: 2uniques | 2count | 276sum
18420: 4uniques | 5count | 319sum
18421: 2uniques | 3count | 135sum
18422: 3uniques | 3count | 214sum
18423: 3uniques | 4count | 118sum
18424: 3uniques | 6count | 67sum
18425: 3uniques | 4count | 88sum
18426: 4uniques | 4count | 125sum
18427: 1uniques | 1count | 0sum
18428: 3uniques | 4count | 292sum
18429: 2uniques | 2count | 6146sum
18430: 4uniques | 4count | 123sum
18431: 2uniques | 2count | 2640sum
18432: 2uniques | 13count | 28sum
18433: 1uniques | 1count | 0sum
18434: 3uniques | 3count | 724sum
18435: 3uniques | 3count | 1237sum
18436: 3uniques | 4count | 434sum
18437: 2uniques | 2count | 282sum
18438: 4uniques | 4count | 451sum
18439: 1uniques | 1count | 0sum
18440: 3uniques | 5count | 472sum
18441: 2uniques | 4count | 692sum
18442: 2uniques | 2count | 9223sum
18443: 1uniques | 1count | 0sum
18444: 4uniques | 5count | 89sum
18445: 4uniques | 4count | 60sum
18446: 3uniques | 3count | 426sum
18447: 4uniques | 4count | 70sum
18448: 2uniques | 5count | 1161sum
18449: 2uniques | 2count | 990sum
18450: 4uniques | 6count | 59sum
18451: 1uniques | 1count | 0sum
18452: 3uniques | 4count | 670sum
18453: 2uniques | 2count | 6154sum
18454: 2uniques | 2count | 9229sum
18455: 2uniques | 2count | 3696sum
18456: 3uniques | 5count | 778sum
18457: 1uniques | 1count | 0sum
18458: 3uniques | 3count | 852sum
18459: 3uniques | 4count | 306sum
18460: 4uniques | 5count | 93sum
18461: 1uniques | 1count | 0sum
18462: 4uniques | 4count | 203sum
18463: 2uniques | 2count | 536sum
18464: 2uniques | 6count | 587sum
18465: 3uniques | 3count | 1239sum
18466: 3uniques | 3count | 1328sum
18467: 2uniques | 2count | 372sum
18468: 3uniques | 8count | 38sum
18469: 3uniques | 3count | 107sum
18470: 3uniques | 3count | 1854sum
18471: 3uniques | 3count | 181sum
18472: 2uniques | 4count | 2315sum
18473: 3uniques | 4count | 56sum
18474: 3uniques | 3count | 3084sum
18475: 2uniques | 3count | 749sum
18476: 3uniques | 4count | 184sum
18477: 2uniques | 3count | 2059sum
18478: 2uniques | 2count | 9241sum
18479: 2uniques | 2count | 1104sum
18480: 5uniques | 8count | 34sum
18481: 1uniques | 1count | 0sum
18482: 2uniques | 2count | 9243sum
18483: 3uniques | 3count | 165sum
18484: 2uniques | 3count | 4625sum
18485: 2uniques | 2count | 3702sum
18486: 4uniques | 5count | 100sum
18487: 3uniques | 3count | 165sum
18488: 2uniques | 4count | 2317sum
18489: 2uniques | 2count | 6166sum
18490: 3uniques | 4count | 93sum
18491: 2uniques | 3count | 93sum
18492: 4uniques | 5count | 97sum
18493: 1uniques | 1count | 0sum
18494: 3uniques | 3count | 1330sum
18495: 3uniques | 5count | 151sum
18496: 2uniques | 8count | 46sum
18497: 2uniques | 2count | 402sum
18498: 3uniques | 3count | 3088sum
18499: 2uniques | 2count | 1436sum
18500: 3uniques | 6count | 56sum
18501: 3uniques | 3count | 891sum
18502: 3uniques | 4count | 71sum
18503: 1uniques | 1count | 0sum
18504: 3uniques | 6count | 269sum
18505: 2uniques | 2count | 3706sum
18506: 3uniques | 3count | 508sum
18507: 3uniques | 3count | 233sum
18508: 3uniques | 4count | 672sum
18509: 2uniques | 2count | 306sum
18510: 4uniques | 4count | 627sum
18511: 2uniques | 2count | 280sum
18512: 3uniques | 6count | 110sum
18513: 3uniques | 5count | 45sum
18514: 2uniques | 2count | 9259sum
18515: 3uniques | 4count | 58sum
18516: 3uniques | 4count | 1550sum
18517: 1uniques | 1count | 0sum
18518: 3uniques | 3count | 246sum
18519: 2uniques | 2count | 6176sum
18520: 3uniques | 5count | 474sum
18521: 1uniques | 1count | 0sum
18522: 3uniques | 7count | 32sum
18523: 1uniques | 1count | 0sum
18524: 3uniques | 4count | 436sum
18525: 4uniques | 5count | 45sum
18526: 3uniques | 3count | 218sum
18527: 2uniques | 2count | 288sum
18528: 3uniques | 7count | 206sum
18529: 2uniques | 2count | 2654sum
18530: 4uniques | 4count | 133sum
18531: 3uniques | 4count | 106sum
18532: 3uniques | 4count | 158sum
18533: 2uniques | 2count | 474sum
18534: 3uniques | 3count | 3094sum
18535: 3uniques | 3count | 353sum
18536: 3uniques | 5count | 344sum
18537: 3uniques | 3count | 207sum
18538: 4uniques | 4count | 69sum
18539: 1uniques | 1count | 0sum
18540: 4uniques | 6count | 118sum
18541: 1uniques | 1count | 0sum
18542: 3uniques | 3count | 202sum
18543: 3uniques | 3count | 893sum
18544: 3uniques | 6count | 88sum
18545: 2uniques | 2count | 3714sum
18546: 4uniques | 4count | 297sum
18547: 2uniques | 2count | 1108sum
18548: 2uniques | 3count | 4641sum
18549: 2uniques | 5count | 241sum
18550: 4uniques | 5count | 72sum
18551: 2uniques | 2count | 1440sum
18552: 3uniques | 5count | 782sum
18553: 1uniques | 1count | 0sum
18554: 2uniques | 2count | 9279sum
18555: 3uniques | 3count | 1245sum
18556: 2uniques | 3count | 4643sum
18557: 3uniques | 3count | 259sum
18558: 3uniques | 4count | 1039sum
18559: 2uniques | 2count | 344sum
18560: 3uniques | 9count | 48sum
18561: 3uniques | 3count | 295sum
18562: 2uniques | 2count | 9283sum
18563: 2uniques | 2count | 996sum
18564: 5uniques | 6count | 44sum
18565: 3uniques | 3count | 131sum
18566: 2uniques | 2count | 9285sum
18567: 2uniques | 3count | 2069sum
18568: 3uniques | 5count | 228sum
18569: 2uniques | 2count | 630sum
18570: 4uniques | 4count | 629sum
18571: 2uniques | 3count | 393sum
18572: 2uniques | 3count | 4647sum
18573: 3uniques | 3count | 195sum
18574: 3uniques | 3count | 290sum
18575: 2uniques | 3count | 753sum
18576: 3uniques | 8count | 60sum
18577: 2uniques | 2count | 1442sum
18578: 3uniques | 3count | 1336sum
18579: 3uniques | 3count | 577sum
18580: 3uniques | 4count | 938sum
18581: 2uniques | 2count | 1110sum
18582: 4uniques | 4count | 187sum
18583: 1uniques | 1count | 0sum
18584: 3uniques | 5count | 130sum
18585: 4uniques | 5count | 77sum
18586: 2uniques | 2count | 9295sum
18587: 1uniques | 1count | 0sum
18588: 3uniques | 4count | 1556sum
18589: 2uniques | 2count | 670sum
18590: 4uniques | 5count | 44sum
18591: 2uniques | 2count | 6200sum
18592: 3uniques | 7count | 100sum
18593: 1uniques | 1count | 0sum
18594: 3uniques | 4count | 1041sum
18595: 2uniques | 2count | 3724sum
18596: 2uniques | 3count | 4653sum
18597: 2uniques | 2count | 6202sum
18598: 3uniques | 3count | 566sum
18599: 2uniques | 2count | 2664sum
18600: 4uniques | 7count | 50sum
18601: 3uniques | 3count | 119sum
18602: 3uniques | 3count | 204sum
18603: 3uniques | 5count | 75sum
18604: 2uniques | 3count | 4655sum
18605: 2uniques | 3count | 127sum
18606: 4uniques | 4count | 455sum
18607: 2uniques | 2count | 832sum
18608: 2uniques | 5count | 1171sum
18609: 2uniques | 2count | 6206sum
18610: 3uniques | 3count | 1868sum
18611: 2uniques | 2count | 540sum
18612: 4uniques | 6count | 68sum
18613: 2uniques | 2count | 2666sum
18614: 3uniques | 3count | 270sum
18615: 4uniques | 4count | 98sum
18616: 3uniques | 5count | 198sum
18617: 1uniques | 1count | 0sum
18618: 4uniques | 4count | 141sum
18619: 2uniques | 2count | 476sum
18620: 4uniques | 6count | 42sum
18621: 2uniques | 3count | 2075sum
18622: 2uniques | 2count | 9313sum
18623: 2uniques | 2count | 1704sum
18624: 3uniques | 8count | 112sum
18625: 2uniques | 4count | 164sum
18626: 3uniques | 3count | 208sum
18627: 3uniques | 3count | 897sum
18628: 2uniques | 3count | 4661sum
18629: 2uniques | 2count | 1446sum
18630: 4uniques | 7count | 42sum
18631: 2uniques | 2count | 632sum
18632: 3uniques | 5count | 160sum
18633: 2uniques | 2count | 6214sum
18634: 3uniques | 5count | 42sum
18635: 2uniques | 2count | 3732sum
18636: 3uniques | 4count | 1560sum
18637: 1uniques | 1count | 0sum
18638: 2uniques | 2count | 9321sum
18639: 3uniques | 4count | 134sum
18640: 3uniques | 6count | 246sum
18641: 2uniques | 2count | 2670sum
18642: 4uniques | 4count | 257sum
18643: 2uniques | 2count | 284sum
18644: 3uniques | 4count | 142sum
18645: 4uniques | 4count | 132sum
18646: 2uniques | 2count | 9325sum
18647: 2uniques | 2count | 672sum
18648: 4uniques | 7count | 56sum
18649: 2uniques | 2count | 1114sum
18650: 3uniques | 4count | 385sum
18651: 2uniques | 2count | 6220sum
18652: 2uniques | 3count | 4667sum
18653: 2uniques | 2count | 834sum
18654: 3uniques | 3count | 3114sum
18655: 4uniques | 4count | 66sum
18656: 3uniques | 7count | 74sum
18657: 2uniques | 4count | 700sum
18658: 3uniques | 3count | 512sum
18659: 2uniques | 2count | 444sum
18660: 4uniques | 5count | 323sum
18661: 1uniques | 1count | 0sum
18662: 4uniques | 4count | 83sum
18663: 2uniques | 2count | 6224sum
18664: 2uniques | 4count | 2339sum
18665: 2uniques | 2count | 3738sum
18666: 4uniques | 5count | 86sum
18667: 2uniques | 2count | 1708sum
18668: 3uniques | 4count | 376sum
18669: 3uniques | 4count | 144sum
18670: 3uniques | 3count | 1874sum
18671: 1uniques | 1count | 0sum
