6002: 2uniques | 2count | 3003sum
6003: 3uniques | 4count | 58sum
6004: 3uniques | 4count | 102sum
6005: 2uniques | 2count | 1206sum
6006: 5uniques | 5count | 36sum
6007: 1uniques | 1count | 0sum
6008: 2uniques | 4count | 757sum
6009: 2uniques | 2count | 2006sum
6010: 3uniques | 3count | 608sum
6011: 1uniques | 1count | 0sum
6012: 3uniques | 5count | 177sum
6013: 2uniques | 2count | 866sum
6014: 3uniques | 3count | 130sum
6015: 3uniques | 3count | 409sum
6016: 2uniques | 8count | 61sum
6017: 2uniques | 2count | 558sum
6018: 4uniques | 4count | 81sum
6019: 2uniques | 2count | 476sum
6020: 4uniques | 5count | 59sum
6021: 2uniques | 4count | 232sum
6022: 2uniques | 2count | 3013sum
6023: 2uniques | 2count | 336sum
6024: 3uniques | 5count | 260sum
6025: 2uniques | 3count | 251sum
6026: 3uniques | 3count | 156sum
6027: 3uniques | 4count | 58sum
6028: 3uniques | 4count | 152sum
6029: 1uniques | 1count | 0sum
6030: 4uniques | 5count | 80sum
6031: 2uniques | 2count | 200sum
6032: 3uniques | 6count | 50sum
6033: 2uniques | 2count | 2014sum
6034: 3uniques | 3count | 440sum
6035: 3uniques | 3count | 93sum
6036: 3uniques | 4count | 510sum
6037: 1uniques | 1count | 0sum
6038: 2uniques | 2count | 3021sum
6039: 3uniques | 4count | 78sum
6040: 3uniques | 5count | 162sum
6041: 2uniques | 2count | 870sum
6042: 4uniques | 4count | 77sum
6043: 1uniques | 1count | 0sum
6044: 2uniques | 3count | 1515sum
6045: 4uniques | 4count | 52sum
6046: 2uniques | 2count | 3025sum
6047: 1uniques | 1count | 0sum
6048: 3uniques | 9count | 26sum
6049: 2uniques | 2count | 286sum
6050: 3uniques | 5count | 34sum
6051: 2uniques | 2count | 2020sum
6052: 3uniques | 4count | 110sum
6053: 1uniques | 1count | 0sum
6054: 3uniques | 3count | 1014sum
6055: 3uniques | 3count | 185sum
6056: 2uniques | 4count | 763sum
6057: 2uniques | 3count | 679sum
6058: 3uniques | 3count | 248sum
6059: 2uniques | 2count | 156sum
6060: 4uniques | 5count | 113sum
6061: 3uniques | 3count | 59sum
6062: 3uniques | 3count | 442sum
6063: 3uniques | 3count | 93sum
6064: 2uniques | 5count | 387sum
6065: 2uniques | 2count | 1218sum
6066: 3uniques | 4count | 345sum
6067: 1uniques | 1count | 0sum
6068: 3uniques | 4count | 82sum
6069: 3uniques | 4count | 44sum
6070: 3uniques | 3count | 614sum
6071: 2uniques | 2count | 480sum
6072: 4uniques | 6count | 43sum
6073: 1uniques | 1count | 0sum
6074: 2uniques | 2count | 3039sum
6075: 2uniques | 7count | 25sum
6076: 3uniques | 5count | 49sum
6077: 2uniques | 2count | 162sum
6078: 3uniques | 3count | 1018sum
6079: 1uniques | 1count | 0sum
6080: 3uniques | 8count | 36sum
6081: 2uniques | 2count | 2030sum
6082: 2uniques | 2count | 3043sum
6083: 3uniques | 3count | 97sum
6084: 3uniques | 6count | 36sum
6085: 2uniques | 2count | 1222sum
6086: 3uniques | 3count | 198sum
6087: 2uniques | 2count | 2032sum
6088: 2uniques | 4count | 767sum
6089: 1uniques | 1count | 0sum
6090: 5uniques | 5count | 46sum
6091: 1uniques | 1count | 0sum
6092: 2uniques | 3count | 1527sum
6093: 2uniques | 3count | 683sum
6094: 3uniques | 3count | 290sum
6095: 3uniques | 3count | 81sum
6096: 3uniques | 6count | 138sum
6097: 3uniques | 3count | 87sum
6098: 2uniques | 2count | 3051sum
6099: 3uniques | 3count | 129sum
6100: 3uniques | 5count | 75sum
6101: 1uniques | 1count | 0sum
6102: 3uniques | 5count | 124sum
6103: 2uniques | 2count | 376sum
6104: 3uniques | 5count | 122sum
6105: 4uniques | 4count | 56sum
6106: 3uniques | 3count | 116sum
6107: 2uniques | 2count | 228sum
6108: 3uniques | 4count | 516sum
6109: 2uniques | 2count | 190sum
