8002: 2uniques | 2count | 4003sum
8003: 2uniques | 2count | 204sum
8004: 4uniques | 5count | 59sum
8005: 2uniques | 2count | 1606sum
8006: 2uniques | 2count | 4005sum
8007: 3uniques | 3count | 177sum
8008: 4uniques | 6count | 37sum
8009: 1uniques | 1count | 0sum
8010: 4uniques | 5count | 102sum
8011: 1uniques | 1count | 0sum
8012: 2uniques | 3count | 2007sum
8013: 2uniques | 2count | 2674sum
8014: 2uniques | 2count | 4009sum
8015: 3uniques | 3count | 241sum
8016: 3uniques | 6count | 178sum
8017: 1uniques | 1count | 0sum
8018: 3uniques | 3count | 232sum
8019: 2uniques | 7count | 29sum
8020: 3uniques | 4count | 410sum
8021: 2uniques | 2count | 630sum
8022: 4uniques | 4count | 203sum
8023: 2uniques | 2count | 184sum
8024: 3uniques | 5count | 82sum
8025: 3uniques | 4count | 120sum
8026: 2uniques | 2count | 4015sum
8027: 2uniques | 2count | 372sum
8028: 3uniques | 5count | 233sum
8029: 3uniques | 3count | 75sum
8030: 4uniques | 4count | 91sum
8031: 2uniques | 2count | 2680sum
8032: 2uniques | 6count | 261sum
8033: 2uniques | 2count | 306sum
8034: 4uniques | 4count | 121sum
8035: 2uniques | 2count | 1612sum
8036: 3uniques | 5count | 59sum
8037: 3uniques | 4count | 72sum
8038: 2uniques | 2count | 4021sum
8039: 1uniques | 1count | 0sum
8040: 4uniques | 6count | 81sum
8041: 3uniques | 3count | 71sum
8042: 2uniques | 2count | 4023sum
8043: 3uniques | 3count | 393sum
8044: 2uniques | 3count | 2015sum
8045: 2uniques | 2count | 1614sum
8046: 3uniques | 5count | 160sum
8047: 2uniques | 2count | 632sum
8048: 2uniques | 5count | 511sum
8049: 2uniques | 2count | 2686sum
8050: 4uniques | 5count | 42sum
8051: 2uniques | 2count | 180sum
8052: 4uniques | 5count | 79sum
8053: 1uniques | 1count | 0sum
8054: 2uniques | 2count | 4029sum
8055: 3uniques | 4count | 190sum
8056: 3uniques | 5count | 78sum
8057: 2uniques | 2count | 1158sum
8058: 4uniques | 4count | 101sum
8059: 1uniques | 1count | 0sum
8060: 4uniques | 5count | 53sum
8061: 2uniques | 2count | 2690sum
8062: 3uniques | 3count | 170sum
8063: 2uniques | 2count | 744sum
8064: 3uniques | 10count | 27sum
8065: 2uniques | 2count | 1618sum
8066: 3uniques | 3count | 148sum
8067: 2uniques | 2count | 2692sum
8068: 2uniques | 3count | 2021sum
8069: 1uniques | 1count | 0sum
8070: 4uniques | 4count | 279sum
8071: 2uniques | 2count | 1160sum
8072: 2uniques | 4count | 1015sum
8073: 3uniques | 5count | 45sum
8074: 3uniques | 3count | 380sum
8075: 3uniques | 4count | 46sum
8076: 3uniques | 4count | 680sum
8077: 2uniques | 2count | 238sum
8078: 3uniques | 3count | 586sum
8079: 2uniques | 2count | 2696sum
8080: 3uniques | 6count | 114sum
8081: 1uniques | 1count | 0sum
8082: 3uniques | 4count | 457sum
8083: 2uniques | 2count | 196sum
8084: 3uniques | 4count | 94sum
8085: 4uniques | 5count | 33sum
8086: 3uniques | 3count | 326sum
8087: 1uniques | 1count | 0sum
8088: 3uniques | 5count | 346sum
8089: 1uniques | 1count | 0sum
8090: 3uniques | 3count | 816sum
8091: 3uniques | 4count | 66sum
8092: 3uniques | 5count | 45sum
8093: 1uniques | 1count | 0sum
8094: 4uniques | 4count | 95sum
8095: 2uniques | 2count | 1624sum
8096: 3uniques | 7count | 44sum
8097: 2uniques | 2count | 2702sum
8098: 2uniques | 2count | 4051sum
8099: 3uniques | 3count | 109sum
8100: 3uniques | 8count | 26sum
8101: 1uniques | 1count | 0sum
8102: 2uniques | 2count | 4053sum
8103: 3uniques | 3count | 113sum
8104: 2uniques | 4count | 1019sum
8105: 2uniques | 2count | 1626sum
8106: 4uniques | 4count | 205sum
8107: 2uniques | 3count | 89sum
8108: 2uniques | 3count | 2031sum
8109: 3uniques | 4count | 76sum
8110: 3uniques | 3count | 818sum
8111: 1uniques | 1count | 0sum
8112: 3uniques | 7count | 37sum
8113: 3uniques | 3count | 87sum
8114: 2uniques | 2count | 4059sum
8115: 3uniques | 3count | 549sum
8116: 2uniques | 3count | 2033sum
8117: 1uniques | 1count | 0sum
8118: 4uniques | 5count | 60sum
8119: 2uniques | 2count | 376sum
8120: 4uniques | 6count | 47sum
8121: 2uniques | 2count | 2710sum
8122: 3uniques | 3count | 164sum
8123: 1uniques | 1count | 0sum
8124: 3uniques | 4count | 684sum
8125: 2uniques | 5count | 33sum
8126: 3uniques | 3count | 258sum
8127: 3uniques | 5count | 59sum
8128: 2uniques | 7count | 139sum
8129: 2uniques | 2count | 750sum
8130: 4uniques | 4count | 281sum
8131: 2uniques | 2count | 220sum
8132: 3uniques | 4count | 130sum
8133: 2uniques | 2count | 2714sum
8134: 3uniques | 4count | 99sum
8135: 2uniques | 2count | 1632sum
8136: 3uniques | 6count | 125sum
8137: 2uniques | 2count | 182sum
8138: 3uniques | 3count | 328sum
8139: 2uniques | 2count | 2716sum
8140: 4uniques | 5count | 57sum
8141: 2uniques | 2count | 1170sum
8142: 4uniques | 4count | 87sum
8143: 2uniques | 2count | 496sum
8144: 2uniques | 5count | 517sum
8145: 3uniques | 4count | 192sum
8146: 2uniques | 2count | 4075sum
8147: 1uniques | 1count | 0sum
8148: 4uniques | 5count | 111sum
8149: 2uniques | 2count | 310sum
8150: 3uniques | 4count | 175sum
8151: 4uniques | 4count | 46sum
8152: 2uniques | 4count | 1025sum
8153: 2uniques | 2count | 294sum
8154: 3uniques | 5count | 162sum
8155: 3uniques | 3count | 245sum
8156: 2uniques | 3count | 2043sum
8157: 2uniques | 2count | 2722sum
8158: 2uniques | 2count | 4081sum
8159: 2uniques | 2count | 240sum
8160: 4uniques | 8count | 35sum
8161: 1uniques | 1count | 0sum
8162: 4uniques | 4count | 73sum
8163: 2uniques | 3count | 913sum
8164: 3uniques | 4count | 174sum
8165: 3uniques | 3count | 99sum
8166: 3uniques | 3count | 1366sum
8167: 1uniques | 1count | 0sum
8168: 2uniques | 4count | 1027sum
8169: 3uniques | 3count | 399sum
8170: 4uniques | 4count | 69sum
8171: 1uniques | 1count | 0sum
8172: 3uniques | 5count | 237sum
8173: 2uniques | 2count | 754sum
8174: 3uniques | 3count | 130sum
8175: 3uniques | 4count | 122sum
8176: 3uniques | 6count | 88sum
8177: 3uniques | 3count | 67sum
8178: 4uniques | 4count | 81sum
8179: 1uniques | 1count | 0sum
8180: 3uniques | 4count | 418sum
8181: 2uniques | 5count | 113sum
8182: 2uniques | 2count | 4093sum
8183: 2uniques | 3count | 181sum
8184: 4uniques | 6count | 51sum
8185: 2uniques | 2count | 1642sum
8186: 2uniques | 2count | 4095sum
8187: 2uniques | 2count | 2732sum
8188: 3uniques | 4count | 116sum
8189: 2uniques | 2count | 450sum
8190: 5uniques | 6count | 33sum
8191: 1uniques | 1count | 0sum
8192: 1uniques | 13count | 26sum
8193: 2uniques | 2count | 2734sum
8194: 3uniques | 3count | 260sum
8195: 3uniques | 3count | 165sum
8196: 3uniques | 4count | 690sum
8197: 2uniques | 2count | 1178sum
8198: 2uniques | 2count | 4101sum
8199: 2uniques | 3count | 917sum
8200: 3uniques | 6count | 57sum
8201: 2uniques | 2count | 198sum
8202: 3uniques | 3count | 1372sum
8203: 2uniques | 2count | 644sum
8204: 3uniques | 4count | 304sum
8205: 3uniques | 3count | 555sum
8206: 3uniques | 3count | 386sum
8207: 2uniques | 2count | 312sum
8208: 3uniques | 8count | 36sum
8209: 1uniques | 1count | 0sum
8210: 3uniques | 3count | 828sum
8211: 4uniques | 4count | 50sum
8212: 2uniques | 3count | 2057sum
8213: 2uniques | 2count | 234sum
8214: 3uniques | 4count | 79sum
8215: 3uniques | 3count | 89sum
8216: 3uniques | 5count | 98sum
8217: 3uniques | 4count | 100sum
8218: 3uniques | 3count | 596sum
8219: 1uniques | 1count | 0sum
8220: 4uniques | 5count | 149sum
8221: 1uniques | 1count | 0sum
8222: 2uniques | 2count | 4113sum
8223: 2uniques | 2count | 2744sum
8224: 2uniques | 6count | 267sum
8225: 3uniques | 4count | 64sum
8226: 3uniques | 4count | 465sum
8227: 2uniques | 2count | 452sum
8228: 3uniques | 5count | 43sum
8229: 3uniques | 3count | 227sum
8230: 3uniques | 3count | 830sum
8231: 1uniques | 1count | 0sum
8232: 3uniques | 7count | 30sum
8233: 1uniques | 1count | 0sum
8234: 3uniques | 3count | 204sum
8235: 3uniques | 5count | 75sum
8236: 3uniques | 4count | 104sum
8237: 1uniques | 1count | 0sum
8238: 3uniques | 3count | 1378sum
8239: 3uniques | 3count | 125sum
8240: 3uniques | 6count | 116sum
8241: 3uniques | 3count | 111sum
8242: 3uniques | 3count | 332sum
8243: 1uniques | 1count | 0sum
8244: 3uniques | 5count | 239sum
8245: 3uniques | 3count | 119sum
8246: 4uniques | 4count | 59sum
8247: 2uniques | 2count | 2752sum
8248: 2uniques | 4count | 1037sum
8249: 2uniques | 2count | 186sum
8250: 4uniques | 6count | 31sum
8251: 2uniques | 2count | 260sum
8252: 2uniques | 3count | 2067sum
8253: 3uniques | 4count | 144sum
8254: 2uniques | 2count | 4129sum
8255: 3uniques | 3count | 145sum
8256: 3uniques | 8count | 58sum
8257: 2uniques | 2count | 382sum
8258: 2uniques | 2count | 4131sum
8259: 2uniques | 2count | 2756sum
8260: 4uniques | 5count | 75sum
8261: 2uniques | 2count | 762sum
8262: 3uniques | 7count | 34sum
8263: 1uniques | 1count | 0sum
8264: 2uniques | 4count | 1039sum
8265: 4uniques | 4count | 56sum
8266: 2uniques | 2count | 4135sum
8267: 2uniques | 2count | 1188sum
8268: 4uniques | 5count | 73sum
8269: 1uniques | 1count | 0sum
8270: 3uniques | 3count | 834sum
8271: 2uniques | 3count | 925sum
8272: 3uniques | 6count | 66sum
8273: 1uniques | 1count | 0sum
8274: 4uniques | 4count | 209sum
8275: 2uniques | 3count | 341sum
8276: 2uniques | 3count | 2073sum
8277: 3uniques | 3count | 123sum
8278: 2uniques | 2count | 4141sum
8279: 2uniques | 2count | 504sum
8280: 4uniques | 7count | 40sum
8281: 2uniques | 4count | 40sum
8282: 3uniques | 3count | 144sum
8283: 3uniques | 3count | 265sum
8284: 3uniques | 4count | 132sum
8285: 2uniques | 2count | 1662sum
8286: 3uniques | 3count | 1386sum
8287: 1uniques | 1count | 0sum
8288: 3uniques | 7count | 54sum
8289: 2uniques | 4count | 316sum
8290: 3uniques | 3count | 836sum
8291: 1uniques | 1count | 0sum
8292: 3uniques | 4count | 698sum
8293: 1uniques | 1count | 0sum
8294: 4uniques | 4count | 55sum
8295: 4uniques | 4count | 94sum
8296: 3uniques | 5count | 84sum
8297: 1uniques | 1count | 0sum
8298: 3uniques | 4count | 469sum
8299: 2uniques | 2count | 236sum
8300: 3uniques | 5count | 97sum
8301: 2uniques | 2count | 2770sum
8302: 3uniques | 3count | 602sum
8303: 2uniques | 3count | 61sum
8304: 3uniques | 6count | 184sum
8305: 3uniques | 3count | 167sum
8306: 2uniques | 2count | 4155sum
8307: 3uniques | 4count | 90sum
8308: 3uniques | 4count | 102sum
8309: 2uniques | 2count | 1194sum
8310: 4uniques | 4count | 287sum
8311: 1uniques | 1count | 0sum
8312: 2uniques | 4count | 1045sum
8313: 3uniques | 3count | 183sum
8314: 2uniques | 2count | 4159sum
8315: 2uniques | 2count | 1668sum
8316: 4uniques | 7count | 31sum
8317: 1uniques | 1count | 0sum
8318: 2uniques | 2count | 4161sum
8319: 3uniques | 3count | 109sum
8320: 3uniques | 9count | 32sum
8321: 2uniques | 2count | 210sum
8322: 4uniques | 4count | 97sum
8323: 3uniques | 3count | 77sum
8324: 2uniques | 3count | 2085sum
8325: 3uniques | 5count | 53sum
8326: 3uniques | 3count | 206sum
8327: 2uniques | 2count | 768sum
8328: 3uniques | 5count | 356sum
8329: 1uniques | 1count | 0sum
8330: 4uniques | 5count | 38sum
8331: 2uniques | 2count | 2780sum
8332: 2uniques | 3count | 2087sum
8333: 2uniques | 2count | 654sum
8334: 3uniques | 4count | 471sum
8335: 2uniques | 2count | 1672sum
8336: 2uniques | 5count | 529sum
8337: 3uniques | 3count | 407sum
8338: 3uniques | 3count | 392sum
8339: 2uniques | 2count | 300sum
8340: 4uniques | 5count | 151sum
8341: 2uniques | 2count | 458sum
8342: 3uniques | 3count | 142sum
8343: 2uniques | 5count | 115sum
8344: 3uniques | 5count | 162sum
8345: 2uniques | 2count | 1674sum
8346: 4uniques | 4count | 125sum
8347: 2uniques | 2count | 508sum
8348: 2uniques | 3count | 2091sum
8349: 3uniques | 4count | 48sum
8350: 3uniques | 4count | 179sum
8351: 2uniques | 2count | 1200sum
8352: 3uniques | 8count | 45sum
8353: 1uniques | 1count | 0sum
8354: 2uniques | 2count | 4179sum
8355: 3uniques | 3count | 565sum
8356: 2uniques | 3count | 2093sum
8357: 2uniques | 2count | 198sum
8358: 4uniques | 4count | 211sum
8359: 2uniques | 2count | 656sum
8360: 4uniques | 6count | 41sum
8361: 2uniques | 3count | 935sum
8362: 3uniques | 3count | 152sum
8363: 1uniques | 1count | 0sum
8364: 4uniques | 5count | 65sum
8365: 3uniques | 3count | 251sum
8366: 3uniques | 3count | 138sum
8367: 2uniques | 2count | 2792sum
8368: 2uniques | 5count | 531sum
8369: 1uniques | 1count | 0sum
8370: 4uniques | 6count | 47sum
8371: 2uniques | 2count | 772sum
8372: 4uniques | 5count | 47sum
8373: 2uniques | 2count | 2794sum
8374: 3uniques | 3count | 134sum
8375: 2uniques | 4count | 82sum
8376: 3uniques | 5count | 358sum
8377: 1uniques | 1count | 0sum
8378: 3uniques | 3count | 132sum
8379: 3uniques | 5count | 39sum
8380: 3uniques | 4count | 428sum
8381: 2uniques | 3count | 63sum
8382: 4uniques | 4count | 143sum
8383: 2uniques | 2count | 184sum
8384: 2uniques | 7count | 143sum
8385: 4uniques | 4count | 64sum
8386: 3uniques | 3count | 608sum
8387: 1uniques | 1count | 0sum
8388: 3uniques | 5count | 243sum
8389: 1uniques | 1count | 0sum
8390: 3uniques | 3count | 846sum
8391: 2uniques | 2count | 2800sum
8392: 2uniques | 4count | 1055sum
8393: 3uniques | 3count | 127sum
8394: 3uniques | 3count | 1404sum
8395: 3uniques | 3count | 101sum
8396: 2uniques | 3count | 2103sum
8397: 2uniques | 4count | 320sum
8398: 4uniques | 4count | 51sum
8399: 2uniques | 2count | 264sum
8400: 4uniques | 8count | 28sum
