12002: 3uniques | 3count | 372sum
12003: 2uniques | 2count | 4004sum
12004: 2uniques | 3count | 3005sum
12005: 2uniques | 5count | 33sum
12006: 4uniques | 5count | 60sum
12007: 1uniques | 1count | 0sum
12008: 3uniques | 5count | 104sum
12009: 2uniques | 2count | 4006sum
12010: 3uniques | 3count | 1208sum
12011: 1uniques | 1count | 0sum
12012: 5uniques | 6count | 38sum
12013: 2uniques | 2count | 334sum
12014: 2uniques | 2count | 6009sum
12015: 3uniques | 5count | 103sum
12016: 2uniques | 5count | 759sum
12017: 2uniques | 2count | 258sum
12018: 3uniques | 3count | 2008sum
12019: 3uniques | 3count | 125sum
12020: 3uniques | 4count | 610sum
12021: 2uniques | 2count | 4010sum
12022: 2uniques | 2count | 6013sum
12023: 2uniques | 2count | 1104sum
12024: 3uniques | 6count | 179sum
12025: 3uniques | 4count | 60sum
12026: 3uniques | 3count | 868sum
12027: 3uniques | 3count | 233sum
12028: 3uniques | 4count | 132sum
12029: 2uniques | 2count | 546sum
12030: 4uniques | 4count | 411sum
12031: 2uniques | 2count | 280sum
12032: 2uniques | 9count | 63sum
12033: 3uniques | 4count | 204sum
12034: 3uniques | 3count | 560sum
12035: 3uniques | 3count | 117sum
12036: 4uniques | 5count | 83sum
12037: 1uniques | 1count | 0sum
12038: 3uniques | 3count | 478sum
12039: 2uniques | 2count | 4016sum
12040: 4uniques | 6count | 61sum
12041: 1uniques | 1count | 0sum
12042: 3uniques | 5count | 234sum
12043: 1uniques | 1count | 0sum
12044: 2uniques | 3count | 3015sum
12045: 4uniques | 4count | 92sum
12046: 3uniques | 3count | 338sum
12047: 2uniques | 2count | 1728sum
12048: 3uniques | 6count | 262sum
12049: 1uniques | 1count | 0sum
12050: 3uniques | 4count | 253sum
12051: 3uniques | 4count | 122sum
12052: 3uniques | 4count | 158sum
12053: 2uniques | 2count | 726sum
12054: 4uniques | 5count | 60sum
12055: 2uniques | 2count | 2416sum
12056: 3uniques | 5count | 154sum
12057: 2uniques | 2count | 4022sum
12058: 2uniques | 2count | 6031sum
12059: 2uniques | 2count | 420sum
12060: 4uniques | 6count | 82sum
12061: 2uniques | 2count | 1730sum
12062: 3uniques | 3count | 202sum
12063: 2uniques | 2count | 4024sum
12064: 3uniques | 7count | 52sum
12065: 3uniques | 3count | 151sum
12066: 3uniques | 3count | 2016sum
12067: 2uniques | 2count | 1108sum
12068: 3uniques | 4count | 442sum
12069: 2uniques | 5count | 161sum
12070: 4uniques | 4count | 95sum
12071: 1uniques | 1count | 0sum
12072: 3uniques | 5count | 512sum
12073: 1uniques | 1count | 0sum
12074: 2uniques | 2count | 6039sum
12075: 4uniques | 5count | 43sum
12076: 2uniques | 3count | 3023sum
12077: 2uniques | 2count | 942sum
12078: 4uniques | 5count | 80sum
12079: 2uniques | 2count | 304sum
12080: 3uniques | 6count | 164sum
12081: 2uniques | 2count | 4030sum
12082: 3uniques | 3count | 872sum
12083: 2uniques | 2count | 324sum
12084: 4uniques | 5count | 79sum
12085: 2uniques | 2count | 2422sum
12086: 2uniques | 2count | 6045sum
12087: 3uniques | 4count | 102sum
12088: 2uniques | 4count | 1517sum
12089: 3uniques | 3count | 175sum
12090: 5uniques | 5count | 54sum
12091: 2uniques | 2count | 220sum
12092: 2uniques | 3count | 3027sum
12093: 3uniques | 3count | 171sum
12094: 2uniques | 2count | 6049sum
12095: 3uniques | 3count | 105sum
12096: 3uniques | 10count | 28sum
12097: 1uniques | 1count | 0sum
12098: 3uniques | 3count | 288sum
12099: 3uniques | 3count | 149sum
12100: 3uniques | 6count | 36sum
12101: 1uniques | 1count | 0sum
12102: 3uniques | 3count | 2022sum
12103: 3uniques | 4count | 46sum
12104: 3uniques | 5count | 112sum
12105: 3uniques | 4count | 280sum
12106: 2uniques | 2count | 6055sum
12107: 1uniques | 1count | 0sum
12108: 3uniques | 4count | 1016sum
12109: 1uniques | 1count | 0sum
12110: 4uniques | 4count | 187sum
12111: 3uniques | 3count | 381sum
12112: 2uniques | 5count | 765sum
12113: 1uniques | 1count | 0sum
12114: 3uniques | 4count | 681sum
12115: 2uniques | 2count | 2428sum
12116: 3uniques | 4count | 250sum
12117: 3uniques | 3count | 587sum
12118: 3uniques | 3count | 158sum
12119: 1uniques | 1count | 0sum
12120: 4uniques | 6count | 115sum
12121: 3uniques | 3count | 71sum
12122: 4uniques | 4count | 61sum
12123: 2uniques | 4count | 458sum
12124: 3uniques | 4count | 444sum
12125: 2uniques | 4count | 112sum
12126: 4uniques | 4count | 95sum
12127: 2uniques | 2count | 248sum
12128: 2uniques | 6count | 389sum
12129: 3uniques | 3count | 327sum
