190: 3uniques | 3count | 26sum
191: 1uniques | 1count | 0sum
192: 2uniques | 7count | 15sum
193: 1uniques | 1count | 0sum
194: 2uniques | 2count | 99sum
195: 3uniques | 3count | 21sum
196: 2uniques | 4count | 18sum
197: 1uniques | 1count | 0sum
198: 3uniques | 4count | 19sum
199: 1uniques | 1count | 0sum
200: 2uniques | 5count | 16sum
201: 2uniques | 2count | 70sum
202: 2uniques | 2count | 103sum
203: 2uniques | 2count | 36sum
204: 3uniques | 4count | 24sum
205: 2uniques | 2count | 46sum
206: 2uniques | 2count | 105sum
207: 2uniques | 3count | 29sum
208: 2uniques | 5count | 21sum
209: 2uniques | 2count | 30sum
210: 4uniques | 4count | 17sum
211: 1uniques | 1count | 0sum
212: 2uniques | 3count | 57sum
213: 2uniques | 2count | 74sum
214: 2uniques | 2count | 109sum
215: 2uniques | 2count | 48sum
216: 2uniques | 6count | 15sum
217: 2uniques | 2count | 38sum
218: 2uniques | 2count | 111sum
219: 2uniques | 2count | 76sum
220: 3uniques | 4count | 20sum
221: 2uniques | 2count | 30sum
222: 3uniques | 3count | 42sum
223: 1uniques | 1count | 0sum
224: 2uniques | 6count | 17sum
225: 2uniques | 4count | 16sum
226: 2uniques | 2count | 115sum
227: 1uniques | 1count | 0sum
228: 3uniques | 4count | 26sum
229: 1uniques | 1count | 0sum
230: 3uniques | 3count | 30sum
231: 3uniques | 3count | 21sum
232: 2uniques | 4count | 35sum
233: 1uniques | 1count | 0sum
234: 3uniques | 4count | 21sum
235: 2uniques | 2count | 52sum
236: 2uniques | 3count | 63sum
237: 2uniques | 2count | 82sum
238: 3uniques | 3count | 26sum
239: 1uniques | 1count | 0sum
240: 3uniques | 6count | 16sum
241: 1uniques | 1count | 0sum
242: 2uniques | 3count | 24sum
243: 1uniques | 5count | 15sum
244: 2uniques | 3count | 65sum
245: 2uniques | 3count | 19sum
246: 3uniques | 3count | 46sum
247: 2uniques | 2count | 32sum
248: 2uniques | 4count | 37sum
249: 2uniques | 2count | 86sum
250: 2uniques | 4count | 17sum
251: 1uniques | 1count | 0sum
252: 3uniques | 5count | 17sum
253: 2uniques | 2count | 34sum
254: 2uniques | 2count | 129sum
255: 3uniques | 3count | 25sum
256: 1uniques | 8count | 16sum
257: 1uniques | 1count | 0sum
258: 3uniques | 3count | 48sum
259: 2uniques | 2count | 44sum
260: 3uniques | 4count | 22sum
261: 2uniques | 3count | 35sum
262: 2uniques | 2count | 133sum
263: 1uniques | 1count | 0sum
264: 3uniques | 5count | 20sum
265: 2uniques | 2count | 58sum
266: 3uniques | 3count | 28sum
267: 2uniques | 2count | 92sum
268: 2uniques | 3count | 71sum
269: 1uniques | 1count | 0sum
270: 3uniques | 5count | 16sum
271: 1uniques | 1count | 0sum
272: 2uniques | 5count | 25sum
273: 3uniques | 3count | 23sum
274: 2uniques | 2count | 139sum
275: 2uniques | 3count | 21sum
276: 3uniques | 4count | 30sum
277: 1uniques | 1count | 0sum
278: 2uniques | 2count | 141sum
279: 2uniques | 3count | 37sum
280: 3uniques | 5count | 18sum
281: 1uniques | 1count | 0sum
282: 3uniques | 3count | 52sum
283: 1uniques | 1count | 0sum
284: 2uniques | 3count | 75sum
285: 3uniques | 3count | 27sum
286: 3uniques | 3count | 26sum
287: 2uniques | 2count | 48sum
288: 2uniques | 7count | 16sum
289: 1uniques | 2count | 34sum
290: 3uniques | 3count | 36sum
291: 2uniques | 2count | 100sum
292: 2uniques | 3count | 77sum
293: 1uniques | 1count | 0sum
294: 3uniques | 4count | 19sum
295: 2uniques | 2count | 64sum
296: 2uniques | 4count | 43sum
297: 2uniques | 4count | 20sum
298: 2uniques | 2count | 151sum
299: 2uniques | 2count | 36sum
300: 3uniques | 5count | 17sum
301: 2uniques | 2count | 50sum
302: 2uniques | 2count | 153sum
303: 2uniques | 2count | 104sum
304: 2uniques | 5count | 27sum
305: 2uniques | 2count | 66sum
306: 3uniques | 4count | 25sum
307: 1uniques | 1count | 0sum
308: 3uniques | 4count | 22sum
309: 2uniques | 2count | 106sum
310: 3uniques | 3count | 38sum
311: 1uniques | 1count | 0sum
312: 3uniques | 5count | 22sum
313: 1uniques | 1count | 0sum
314: 2uniques | 2count | 159sum
315: 3uniques | 4count | 18sum
316: 2uniques | 3count | 83sum
317: 1uniques | 1count | 0sum
318: 3uniques | 3count | 58sum
319: 2uniques | 2count | 40sum
320: 2uniques | 7count | 17sum
321: 2uniques | 2count | 110sum
322: 3uniques | 3count | 32sum
323: 2uniques | 2count | 36sum
324: 2uniques | 6count | 16sum
325: 2uniques | 3count | 23sum
326: 2uniques | 2count | 165sum
327: 2uniques | 2count | 112sum
328: 2uniques | 4count | 47sum
329: 2uniques | 2count | 54sum
330: 4uniques | 4count | 21sum
331: 1uniques | 1count | 0sum
332: 2uniques | 3count | 87sum
333: 2uniques | 3count | 43sum
334: 2uniques | 2count | 169sum
335: 2uniques | 2count | 72sum
336: 3uniques | 6count | 18sum
337: 1uniques | 1count | 0sum
338: 2uniques | 3count | 28sum
339: 2uniques | 2count | 116sum
340: 3uniques | 4count | 26sum
341: 2uniques | 2count | 42sum
342: 3uniques | 4count | 27sum
343: 1uniques | 3count | 21sum
344: 2uniques | 4count | 49sum
345: 3uniques | 3count | 31sum
346: 2uniques | 2count | 175sum
347: 1uniques | 1count | 0sum
348: 3uniques | 4count | 36sum
349: 1uniques | 1count | 0sum
350: 3uniques | 4count | 19sum
351: 2uniques | 4count | 22sum
352: 2uniques | 6count | 21sum
353: 1uniques | 1count | 0sum
354: 3uniques | 3count | 64sum
355: 2uniques | 2count | 76sum
356: 2uniques | 3count | 93sum
357: 3uniques | 3count | 27sum
358: 2uniques | 2count | 181sum
359: 1uniques | 1count | 0sum
360: 3uniques | 6count | 17sum
361: 1uniques | 2count | 38sum
362: 2uniques | 2count | 183sum
363: 2uniques | 3count | 25sum
364: 3uniques | 4count | 24sum
365: 2uniques | 2count | 78sum
366: 3uniques | 3count | 66sum
367: 1uniques | 1count | 0sum
368: 2uniques | 5count | 31sum
369: 2uniques | 3count | 47sum
370: 3uniques | 3count | 44sum
371: 2uniques | 2count | 60sum
372: 3uniques | 4count | 38sum
373: 1uniques | 1count | 0sum
374: 3uniques | 3count | 30sum
375: 2uniques | 4count | 18sum
376: 2uniques | 4count | 53sum
377: 2uniques | 2count | 42sum
378: 3uniques | 5count | 18sum
379: 1uniques | 1count | 0sum
380: 3uniques | 4count | 28sum
381: 2uniques | 2count | 130sum
382: 2uniques | 2count | 193sum
383: 1uniques | 1count | 0sum
384: 2uniques | 8count | 17sum
385: 3uniques | 3count | 23sum
386: 2uniques | 2count | 195sum
387: 2uniques | 3count | 49sum
388: 2uniques | 3count | 101sum
389: 1uniques | 1count | 0sum
390: 4uniques | 4count | 23sum
391: 2uniques | 2count | 40sum
392: 2uniques | 5count | 20sum
393: 2uniques | 2count | 134sum
394: 2uniques | 2count | 199sum
395: 2uniques | 2count | 84sum
396: 3uniques | 5count | 21sum
397: 1uniques | 1count | 0sum
398: 2uniques | 2count | 201sum
399: 3uniques | 3count | 29sum
400: 2uniques | 6count | 18sum
