4002: 4uniques | 4count | 57sum
4003: 1uniques | 1count | 0sum
4004: 4uniques | 5count | 35sum
4005: 3uniques | 4count | 100sum
4006: 2uniques | 2count | 2005sum
4007: 1uniques | 1count | 0sum
4008: 3uniques | 5count | 176sum
4009: 2uniques | 2count | 230sum
4010: 3uniques | 3count | 408sum
4011: 3uniques | 3count | 201sum
4012: 3uniques | 4count | 80sum
4013: 1uniques | 1count | 0sum
4014: 3uniques | 4count | 231sum
4015: 3uniques | 3count | 89sum
4016: 2uniques | 5count | 259sum
4017: 3uniques | 3count | 119sum
4018: 3uniques | 4count | 57sum
4019: 1uniques | 1count | 0sum
4020: 4uniques | 5count | 79sum
4021: 1uniques | 1count | 0sum
4022: 2uniques | 2count | 2013sum
4023: 2uniques | 4count | 158sum
4024: 2uniques | 4count | 509sum
4025: 3uniques | 4count | 40sum
4026: 4uniques | 4count | 77sum
4027: 1uniques | 1count | 0sum
4028: 3uniques | 4count | 76sum
4029: 3uniques | 3count | 99sum
4030: 4uniques | 4count | 51sum
4031: 2uniques | 2count | 168sum
4032: 3uniques | 9count | 25sum
4033: 2uniques | 2count | 146sum
4034: 2uniques | 2count | 2019sum
4035: 3uniques | 3count | 277sum
4036: 2uniques | 3count | 1013sum
4037: 2uniques | 2count | 378sum
4038: 3uniques | 3count | 678sum
4039: 2uniques | 2count | 584sum
4040: 3uniques | 5count | 112sum
4041: 2uniques | 3count | 455sum
4042: 3uniques | 3count | 92sum
4043: 2uniques | 2count | 324sum
4044: 3uniques | 4count | 344sum
4045: 2uniques | 2count | 814sum
4046: 3uniques | 4count | 43sum
4047: 3uniques | 3count | 93sum
4048: 3uniques | 6count | 42sum
4049: 1uniques | 1count | 0sum
4050: 3uniques | 7count | 24sum
4051: 1uniques | 1count | 0sum
4052: 2uniques | 3count | 1017sum
4053: 3uniques | 3count | 203sum
4054: 2uniques | 2count | 2029sum
4055: 2uniques | 2count | 816sum
4056: 3uniques | 6count | 35sum
4057: 1uniques | 1count | 0sum
4058: 2uniques | 2count | 2031sum
4059: 3uniques | 4count | 58sum
4060: 4uniques | 5count | 45sum
4061: 2uniques | 2count | 162sum
4062: 3uniques | 3count | 682sum
4063: 2uniques | 2count | 256sum
4064: 2uniques | 6count | 137sum
4065: 3uniques | 3count | 279sum
4066: 3uniques | 3count | 128sum
4067: 2uniques | 3count | 97sum
4068: 3uniques | 5count | 123sum
4069: 2uniques | 2count | 326sum
4070: 4uniques | 4count | 55sum
4071: 3uniques | 3count | 85sum
4072: 2uniques | 4count | 515sum
4073: 1uniques | 1count | 0sum
4074: 4uniques | 4count | 109sum
4075: 2uniques | 3count | 173sum
4076: 2uniques | 3count | 1023sum
4077: 2uniques | 4count | 160sum
4078: 2uniques | 2count | 2041sum
4079: 1uniques | 1count | 0sum
4080: 4uniques | 7count | 33sum
4081: 3uniques | 3count | 71sum
4082: 3uniques | 3count | 172sum
4083: 2uniques | 2count | 1364sum
4084: 2uniques | 3count | 1025sum
4085: 3uniques | 3count | 67sum
4086: 3uniques | 4count | 235sum
4087: 2uniques | 2count | 128sum
4088: 3uniques | 5count | 86sum
4089: 3uniques | 3count | 79sum
4090: 3uniques | 3count | 416sum
4091: 1uniques | 1count | 0sum
4092: 4uniques | 5count | 49sum
4093: 1uniques | 1count | 0sum
4094: 3uniques | 3count | 114sum
4095: 4uniques | 5count | 31sum
4096: 1uniques | 12count | 24sum
4097: 2uniques | 2count | 258sum
4098: 3uniques | 3count | 688sum
4099: 1uniques | 1count | 0sum
4100: 3uniques | 5count | 55sum
4101: 2uniques | 2count | 1370sum
4102: 3uniques | 3count | 302sum
4103: 2uniques | 2count | 384sum
4104: 3uniques | 7count | 34sum
4105: 2uniques | 2count | 826sum
4106: 2uniques | 2count | 2055sum
4107: 2uniques | 3count | 77sum
4108: 3uniques | 4count | 96sum
4109: 2uniques | 2count | 594sum
4110: 4uniques | 4count | 147sum
4111: 1uniques | 1count | 0sum
4112: 2uniques | 5count | 265sum
4113: 2uniques | 3count | 463sum
4114: 3uniques | 4count | 41sum
4115: 2uniques | 2count | 828sum
4116: 3uniques | 6count | 28sum
4117: 2uniques | 2count | 202sum
4118: 3uniques | 3count | 102sum
4119: 2uniques | 2count | 1376sum
4120: 3uniques | 5count | 114sum
4121: 2uniques | 2count | 330sum
4122: 3uniques | 4count | 237sum
4123: 3uniques | 3count | 57sum
4124: 2uniques | 3count | 1035sum
4125: 3uniques | 5count | 29sum
4126: 2uniques | 2count | 2065sum
4127: 1uniques | 1count | 0sum
4128: 3uniques | 7count | 56sum
4129: 1uniques | 1count | 0sum
4130: 4uniques | 4count | 73sum
4131: 2uniques | 6count | 32sum
4132: 2uniques | 3count | 1037sum
4133: 1uniques | 1count | 0sum
4134: 4uniques | 4count | 71sum
4135: 2uniques | 2count | 832sum
4136: 3uniques | 5count | 64sum
4137: 3uniques | 3count | 207sum
4138: 2uniques | 2count | 2071sum
4139: 1uniques | 1count | 0sum
4140: 4uniques | 6count | 38sum
4141: 2uniques | 2count | 142sum
4142: 3uniques | 3count | 130sum
4143: 2uniques | 2count | 1384sum
4144: 3uniques | 6count | 52sum
4145: 2uniques | 2count | 834sum
4146: 3uniques | 3count | 696sum
4147: 3uniques | 3count | 53sum
4148: 3uniques | 4count | 82sum
4149: 2uniques | 3count | 467sum
4150: 3uniques | 4count | 95sum
4151: 2uniques | 2count | 600sum
4152: 3uniques | 5count | 182sum
4153: 1uniques | 1count | 0sum
4154: 3uniques | 3count | 100sum
4155: 3uniques | 3count | 285sum
4156: 2uniques | 3count | 1043sum
4157: 1uniques | 1count | 0sum
4158: 4uniques | 6count | 29sum
4159: 1uniques | 1count | 0sum
4160: 3uniques | 8count | 30sum
