14177: 1uniques | 1count | 0sum
14178: 4uniques | 4count | 161sum
14179: 2uniques | 2count | 1300sum
14180: 3uniques | 4count | 718sum
14181: 3uniques | 3count | 195sum
14182: 3uniques | 3count | 1022sum
14183: 2uniques | 2count | 1104sum
14184: 3uniques | 6count | 209sum
14185: 2uniques | 2count | 2842sum
14186: 3uniques | 3count | 216sum
14187: 2uniques | 2count | 4732sum
14188: 2uniques | 3count | 3551sum
14189: 2uniques | 2count | 2034sum
14190: 5uniques | 5count | 64sum
14191: 2uniques | 2count | 640sum
14192: 2uniques | 5count | 895sum
14193: 3uniques | 4count | 108sum
14194: 3uniques | 3count | 200sum
14195: 3uniques | 3count | 189sum
14196: 4uniques | 6count | 40sum
14197: 1uniques | 1count | 0sum
14198: 3uniques | 3count | 262sum
14199: 2uniques | 2count | 4736sum
14200: 3uniques | 6count | 87sum
14201: 2uniques | 2count | 1302sum
14202: 3uniques | 5count | 274sum
14203: 2uniques | 2count | 2036sum
14204: 3uniques | 4count | 124sum
14205: 3uniques | 3count | 955sum
14206: 2uniques | 2count | 7105sum
14207: 1uniques | 1count | 0sum
14208: 3uniques | 9count | 54sum
14209: 2uniques | 2count | 1106sum
14210: 4uniques | 5count | 50sum
14211: 2uniques | 3count | 1585sum
14212: 4uniques | 5count | 51sum
14213: 2uniques | 2count | 294sum
14214: 4uniques | 4count | 131sum
14215: 2uniques | 2count | 2848sum
14216: 2uniques | 4count | 1783sum
14217: 3uniques | 3count | 687sum
14218: 2uniques | 2count | 7111sum
14219: 2uniques | 2count | 300sum
14220: 4uniques | 6count | 94sum
14221: 1uniques | 1count | 0sum
14222: 3uniques | 3count | 562sum
14223: 3uniques | 3count | 445sum
14224: 3uniques | 6count | 142sum
14225: 2uniques | 3count | 579sum
14226: 3uniques | 3count | 2376sum
14227: 2uniques | 2count | 388sum
14228: 2uniques | 3count | 3561sum
14229: 3uniques | 5count | 57sum
14230: 3uniques | 3count | 1430sum
14231: 3uniques | 3count | 133sum
14232: 3uniques | 5count | 602sum
14233: 2uniques | 2count | 374sum
14234: 3uniques | 3count | 660sum
14235: 4uniques | 4count | 94sum
14236: 2uniques | 3count | 3563sum
14237: 2uniques | 2count | 642sum
14238: 4uniques | 5count | 128sum
14239: 2uniques | 2count | 520sum
14240: 3uniques | 7count | 104sum
14241: 3uniques | 3count | 151sum
14242: 2uniques | 2count | 7123sum
14243: 1uniques | 1count | 0sum
14244: 3uniques | 4count | 1194sum
14245: 4uniques | 4count | 60sum
14246: 3uniques | 3count | 438sum
14247: 2uniques | 3count | 1589sum
14248: 3uniques | 5count | 156sum
14249: 1uniques | 1count | 0sum
14250: 4uniques | 6count | 39sum
14251: 1uniques | 1count | 0sum
14252: 3uniques | 4count | 520sum
14253: 2uniques | 2count | 4754sum
14254: 2uniques | 2count | 7129sum
14255: 2uniques | 2count | 2856sum
14256: 3uniques | 9count | 31sum
14257: 2uniques | 2count | 322sum
14258: 2uniques | 2count | 7131sum
14259: 3uniques | 4count | 114sum
14260: 4uniques | 5count | 63sum
14261: 2uniques | 2count | 1110sum
14262: 3uniques | 3count | 2382sum
14263: 2uniques | 2count | 856sum
14264: 2uniques | 4count | 1789sum
14265: 3uniques | 4count | 328sum
14266: 3uniques | 3count | 1028sum
14267: 2uniques | 2count | 1308sum
14268: 4uniques | 5count | 77sum
14269: 2uniques | 2count | 770sum
14270: 3uniques | 3count | 1434sum
14271: 3uniques | 3count | 141sum
14272: 2uniques | 7count | 235sum
14273: 2uniques | 2count | 2046sum
14274: 4uniques | 5count | 82sum
14275: 2uniques | 3count | 581sum
14276: 3uniques | 4count | 130sum
14277: 2uniques | 2count | 4762sum
14278: 3uniques | 4count | 83sum
14279: 2uniques | 2count | 240sum
14280: 5uniques | 7count | 38sum
14281: 1uniques | 1count | 0sum
14282: 3uniques | 3count | 232sum
14283: 2uniques | 5count | 55sum
14284: 2uniques | 3count | 3575sum
14285: 2uniques | 2count | 2862sum
14286: 3uniques | 3count | 2386sum
14287: 3uniques | 3count | 177sum
14288: 3uniques | 6count | 74sum
14289: 3uniques | 3count | 447sum
14290: 3uniques | 3count | 1436sum
14291: 2uniques | 2count | 492sum
14292: 3uniques | 5count | 407sum
14293: 1uniques | 1count | 0sum
14294: 3uniques | 3count | 1030sum
14295: 3uniques | 3count | 961sum
14296: 2uniques | 4count | 1793sum
