10002: 3uniques | 3count | 1672sum
10003: 2uniques | 2count | 1436sum
10004: 3uniques | 4count | 106sum
10005: 4uniques | 4count | 60sum
10006: 2uniques | 2count | 5005sum
10007: 1uniques | 1count | 0sum
10008: 3uniques | 6count | 151sum
10009: 1uniques | 1count | 0sum
10010: 5uniques | 5count | 38sum
10011: 3uniques | 3count | 121sum
10012: 2uniques | 3count | 2507sum
10013: 3uniques | 3count | 67sum
10014: 3uniques | 3count | 1674sum
10015: 2uniques | 2count | 2008sum
10016: 2uniques | 6count | 323sum
10017: 3uniques | 5count | 69sum
10018: 2uniques | 2count | 5011sum
10019: 2uniques | 2count | 276sum
10020: 4uniques | 5count | 179sum
10021: 2uniques | 2count | 922sum
10022: 2uniques | 2count | 5013sum
10023: 3uniques | 3count | 273sum
10024: 3uniques | 5count | 192sum
10025: 2uniques | 3count | 411sum
10026: 3uniques | 4count | 565sum
10027: 2uniques | 2count | 308sum
10028: 3uniques | 4count | 136sum
10029: 2uniques | 2count | 3346sum
10030: 4uniques | 4count | 83sum
10031: 2uniques | 2count | 1440sum
10032: 4uniques | 7count | 41sum
10033: 2uniques | 2count | 206sum
10034: 3uniques | 3count | 204sum
10035: 3uniques | 4count | 234sum
10036: 3uniques | 4count | 210sum
10037: 1uniques | 1count | 0sum
10038: 4uniques | 4count | 251sum
10039: 1uniques | 1count | 0sum
10040: 3uniques | 5count | 262sum
10041: 2uniques | 2count | 3350sum
10042: 2uniques | 2count | 5023sum
10043: 2uniques | 3count | 105sum
10044: 3uniques | 7count | 47sum
10045: 3uniques | 4count | 60sum
10046: 2uniques | 2count | 5025sum
10047: 3uniques | 3count | 217sum
10048: 2uniques | 7count | 169sum
10049: 2uniques | 2count | 786sum
10050: 4uniques | 5count | 82sum
10051: 2uniques | 3count | 65sum
10052: 3uniques | 4count | 370sum
10053: 2uniques | 3count | 1123sum
10054: 3uniques | 3count | 470sum
10055: 2uniques | 2count | 2016sum
10056: 3uniques | 5count | 428sum
10057: 2uniques | 2count | 202sum
10058: 3uniques | 3count | 156sum
10059: 3uniques | 3count | 489sum
10060: 3uniques | 4count | 512sum
10061: 1uniques | 1count | 0sum
10062: 4uniques | 5count | 64sum
10063: 2uniques | 2count | 376sum
10064: 3uniques | 6count | 62sum
10065: 4uniques | 4count | 80sum
10066: 3uniques | 3count | 728sum
10067: 1uniques | 1count | 0sum
10068: 3uniques | 4count | 846sum
10069: 1uniques | 1count | 0sum
10070: 4uniques | 4count | 79sum
10071: 2uniques | 4count | 382sum
